algorithm,similes,property,value
Tanimoto-distance-SQRT,CCC(CC)C(=O)NC(C(=O)NC(CC(=O)N1CCCC1)C(=O)NC(CC(=O)O)C(=O)NC(CO)CC(C)C)C(C)(C)C,sol_time,inf
Tanimoto-distance-SQRT,O=c1c2c(-c3ccccc3)csc2ncn1N=Cc1cn(-c2ccccc2)nc1-c1cccs1,sol_time,inf
Tanimoto-distance-SQRT,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)C(Cl)C2SC1,sol_time,inf
Tanimoto-distance-SQRT,Cn1c2cc(C(=O)O)sc2c2cnn(Cc3ccccc3F)c(=O)c21,sol_time,38.0
Tanimoto-distance-SQRT,CCCCCCCCCCCCN(C)C,sol_time,1.0
Tanimoto-distance-SQRT,CC(C)CCCCCCCCCCCCC(=O)NCC(=O)NC1C(O)C(O)C(Nc2[nH]cnc3ncnc2-3)OC1C(O)CO,sol_time,inf
Tanimoto-distance-SQRT,NC(S)=NNc1ccnc2cc(Cl)ccc12,sol_time,inf
Tanimoto-distance-SQRT,O=c1cc(-c2ccnc(NC3CCOCC3)n2)ccn1C(CO)c1ccc(F)c(Cl)c1,sol_time,inf
Tanimoto-distance-SQRT,CS(=O)(=O)c1ccc(-c2cnc3ccc(-c4cncc(C(F)(F)F)c4)nn23)cc1,sol_time,15.0
Tanimoto-distance-SQRT,CC(COC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)N(Cc1ccccc1)Cc1ccccc1,sol_time,12.0
Tanimoto-distance-SQRT,COc1ccc(C(=O)Nc2ncccc2C)cc1S(=O)(=O)N1CCOCC1,sol_time,3.0
Tanimoto-distance-SQRT,CCc1cnc2c(c1SCC(=O)NCc1ccccc1)c(=O)n(C)c(=O)n2C,sol_time,inf
Tanimoto-distance-SQRT,COc1ccc2cc3[n+](cc2c1OCCN(CCn1cnc([N+](=O)[O-])c1)Cc1ccccc1Cl)CCc1cc2c(cc1-3)OCO2,sol_time,inf
Tanimoto-distance-SQRT,OC(=Nc1cnn2ccc(N3CCCC3c3cc(F)ccc3C(F)(F)F)nc12)N1CCCC(O)C1,sol_time,inf
Tanimoto-distance-SQRT,Cc1cc(-c2ccc(-c3ccc(O)c(C)c3)s2)ccc1O,sol_time,8.0
Tanimoto-distance-SQRT,Nc1nc(N)c2nc(-c3ccc4ccccc4c3)[nH]c2n1,sol_time,5.0
Tanimoto-distance-SQRT,CCC(C(=O)OCC(=O)Nc1cc(OC)ccc1OC)c1ccccc1,sol_time,3.0
Tanimoto-distance-SQRT,Cc1ccc(S(=O)(=O)c2cc3c(=O)n4ccccc4nc3n(C3CCCC3)c2=N)cc1,sol_time,inf
Tanimoto-distance-SQRT,ClC1(Cl)C2CCOC21n1cnc2ccccc21,sol_time,inf
Tanimoto-distance-SQRT,Cc1ccc(OCC(=O)N2N=C(C(F)(F)F)CC2(O)C(C)(C)C)cc1C,sol_time,4.0
Tanimoto-distance-SQRT,CC(C)(C)OC(=O)NC(CCC(=O)OCc1ccccc1)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCCCCCCCCCCCOP(=O)(O)Oc1ccccc1Cl,sol_time,inf
Tanimoto-distance-SQRT,C(=CC1CN2CCC1CC2)c1ccc(-c2ccccc2)cc1,sol_time,inf
Tanimoto-distance-SQRT,Cc1cccc(Cl)c1N1CC(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC1=O,sol_time,inf
Tanimoto-distance-SQRT,CSc1ccc(C2=C(c3ccc(F)c(C)c3)C(=O)N3CCCC3C2)cc1,sol_time,inf
Tanimoto-distance-SQRT,CNCC(Nc1ncnc2c(C(N)=O)ccc(OC)c12)c1ccccc1,sol_time,inf
Tanimoto-distance-SQRT,CC(=O)Nc1nc(C)c(Cc2ccccc2)c(O)n1,sol_time,2.0
Tanimoto-distance-SQRT,O=C(NCc1ccco1)c1noc2c1CCCC2,sol_time,28.0
Tanimoto-distance-SQRT,CCCC(NC(=O)C(CCC(C)C)NC(=O)C(NC(=O)OCC(C)C)C1CCCCC1)C(=O)C(=O)NCC(=O)NC(C(=O)O)c1ccccc1,sol_time,inf
Tanimoto-distance-SQRT,Cc1ccccc1NC(=O)Nc1ccc(CC(=O)NC(CC(=O)NC(C(=O)O)c2ccccc2)CC(C)C)cc1,sol_time,inf
Tanimoto-distance-SQRT,CC1(C)SC(c2ccccc2N)=NN1C(=O)c1ccccc1,sol_time,6.0
Tanimoto-distance-SQRT,N#CC1CCCN(c2ncc(-c3cccc(F)c3)c3[nH]c(Cc4cc(F)ccc4F)nc23)C1,sol_time,inf
Tanimoto-distance-SQRT,CC(Nc1nccc(N2C(=O)OCC2C(C)O)n1)c1cnc(-c2ccc(Cl)cc2)s1,sol_time,inf
Tanimoto-distance-SQRT,COC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)C1c1ccccc1F,sol_time,38.0
Tanimoto-distance-SQRT,O=C(NC(CO)c1ccc(F)cc1)c1ccc(-c2c[nH]c3ncccc23)s1,sol_time,inf
Tanimoto-distance-SQRT,NNC(c1ccccc1)C(O)c1ccccc1,sol_time,inf
Tanimoto-distance-SQRT,O=C(Nc1cc(F)ccc1F)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,sol_time,inf
Tanimoto-distance-SQRT,O=C1Nc2cc(Cl)c(Cl)cc2N(O)N1c1cccc(Cl)c1,sol_time,inf
Tanimoto-distance-SQRT,O=c1ccc(-n2ccnc2)nn1CCNS(=O)(=O)c1ccc(Cl)s1,sol_time,8.0
Tanimoto-distance-SQRT,NC(=O)C1CCCN1C(=O)CCNS(=O)(=O)C(F)(F)F,sol_time,7.0
Tanimoto-distance-SQRT,Cc1nn(C)c(C)c1N(C)S(=O)(=O)c1c(Cl)cc(CCCN2CCNCC2)cc1Cl,sol_time,inf
Tanimoto-distance-SQRT,COc1ccccc1C1=NC(c2ccc(F)cc2)N=C1C,sol_time,inf
Tanimoto-distance-SQRT,CC1CCN(C(=O)c2ccc(-c3cc(NC4CC4)n4ncc(C=C5N=C(O)N=C5O)c4n3)s2)C1,sol_time,inf
Tanimoto-distance-SQRT,COc1ccccc1C(N)=O,sol_time,1.0
Tanimoto-distance-SQRT,CN(C)c1ccc(NC(=O)c2cn(Cc3c(F)cccc3Cl)c3ccc(=O)[nH]c3c2=O)cc1,sol_time,11.0
Tanimoto-distance-SQRT,CCCCCCCCCCCCC(O)C1CCC(C(O)CCC(O)CCCC(O)CCCC(O)CC2=CC(C)OC2=O)O1,sol_time,inf
Tanimoto-distance-SQRT,Cc1cc(C)cc(Oc2nc3c(c(=O)n(C)c(=O)n3C)n2Cc2ccc(F)cc2)c1,sol_time,11.0
Tanimoto-distance-SQRT,CNC(=O)CCn1ccc(=O)c(O)c1C,sol_time,18.0
Tanimoto-distance-SQRT,O=C(Nc1ccccc1F)Nc1cc(Cl)ccc1C(=O)O,sol_time,2.0
Tanimoto-distance-SQRT,Cc1nc(CN2CC(CCCc3ccccn3)(C(=O)N(C)C)C2)co1,sol_time,inf
Tanimoto-distance-SQRT,CON=C1C2C(c3cccc(OC)c3)NC(c3cccc(OC)c3)C1C(c1cccc(OC)c1)NC2c1cccc(OC)c1,sol_time,inf
Tanimoto-distance-SQRT,N#CC1=C(C(=O)O)N2C(=O)C(=Cc3ccccn3)C2S(=O)(=O)C1,sol_time,inf
Tanimoto-distance-SQRT,COc1cc(C=C2SC(=O)NC2=O)ccc1OCc1ccccc1,sol_time,1.0
Tanimoto-distance-SQRT,Cc1cc2c(C)cccc2c(-n2c(C)nnc2SCC(=O)Nc2ccccc2Br)c1C,sol_time,inf
Tanimoto-distance-SQRT,CC(=NN=C1SCC(=O)N1Cc1ccccc1[N+](=O)[O-])c1ccccn1,sol_time,inf
Tanimoto-distance-SQRT,COC(=O)c1ccccc1NC(=O)CCC(=O)N1CCSc2ccccc21,sol_time,7.0
Tanimoto-distance-SQRT,O=C(O)COc1ccc2c(c1)CCCC2,sol_time,1.0
Tanimoto-distance-SQRT,CCOc1ccc2ccccc2c1C=c1[nH]c(=O)c(=Cc2ncoc2C(C)(C)C)[nH]c1=O,sol_time,inf
Tanimoto-distance-SQRT,N=c1sc(-c2ccc([N+](=O)[O-])cc2)nn1-c1c(Cl)cc(Cl)cc1Cl,sol_time,inf
Tanimoto-distance-SQRT,Cc1nc(O)nc(SCc2cccc(Cl)c2)c1C#N,sol_time,19.0
