algorithm,similes,property,value
constant-0,CCCSc1nsnc1OC1CN2CCC1C2,sol_time,52.0
constant-0,Cn1nc(N)c2c3c(c(N4CCCCC4)nc21)CN(Cc1ccccc1)CC3,sol_time,inf
constant-0,COc1ccccc1CNC1C(c2ccccc2)NC2CCCC21,sol_time,322.0
constant-0,Cc1c(C(N)C(=O)OCCCCO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,sol_time,638.0
constant-0,CC(C)NC(=O)CN1CCN(C(c2cc3ccccc3o2)c2nnnn2C(C)(C)C)CC1,sol_time,542.0
constant-0,NCC1(CC(=O)O)CCCCC1C1CCCCC1,sol_time,571.0
constant-0,Fc1ccccc1Cc1nc(-c2nc(C(F)(F)F)n[nH]2)c2ccccn12,sol_time,inf
constant-0,Cc1cc(CN(Cc2ccccc2)Cc2nc3ccccc3[nH]2)c(O)c(CN(Cc2nc3ccccc3[nH]2)Cc2nc3ccccc3[nH]2)c1,sol_time,683.0
constant-0,COc1ccc(C2C(CCCc3ccccc3)OC(=O)N2c2ccc(OC)cc2)cc1,sol_time,inf
constant-0,COC(=O)NC1=NC(c2cccc(OC)c2)CN1C,sol_time,inf
constant-0,O=C(O)c1ccc2nc(C(=O)O)cc(Cc3ccc(O)c(O)c3)c2c1,sol_time,594.0
constant-0,CC(=O)OCC(CO)OCn1cnc2c(F)nc(N)nc21,sol_time,299.0
constant-0,C=C1CN(S(=O)(=O)c2ccc(C)cc2)CCCN(Cc2cccnc2)CCCN(S(=O)(=O)c2ccc(C)cc2)C1,sol_time,inf
constant-0,CCCCCn1nc(C(=O)N(CC(C)C)c2c(N)n(CCCC)c(=O)[nH]c2=O)c2ccccc2c1=O,sol_time,inf
constant-0,NS(=O)(=O)c1ccc2nc(-n3cc(C=O)c(-c4ccc([N+](=O)[O-])cc4)n3)sc2c1,sol_time,207.0
constant-0,C=CCN(C(=O)OCc1ccc([N+](=O)[O-])cc1)C1CCN(CC2CN(C(=O)c3ccccc3Cl)CC2c2ccccc2)CC1,sol_time,451.0
constant-0,COc1c(C(=O)O)c(O)c(NS(=O)(=O)c2ccc(C)cc2)c2occc12,sol_time,300.0
constant-0,COCC(=O)N1CCN(Cc2ccc3[nH]c(-c4cc5cc(-c6cn[nH]c6)ccc5[nH]c4=O)cc3c2)CC1,sol_time,278.0
constant-0,CN1CCC=C(c2nsnc2OCCCO)C1,sol_time,400.0
constant-0,Cc1ccc(C)c(N2c3cc(Cl)ccc3S(=O)(=O)c3c(N)n[nH]c32)c1,sol_time,173.0
constant-0,C=C1CC(c2cccc(Br)n2)OC1=O,sol_time,63.0
constant-0,O=C(CN1CCOCCOCCN(CC(=O)Nc2ccccc2)CCOCC1)Nc1ccccc1,sol_time,inf
constant-0,COc1ccc2c(=O)c3c(=O)n(-c4ccc(C)cc4)c(-c4ccccc4)nc3oc2c1,sol_time,inf
constant-0,CCOC(=O)N1CCN(C2=C(NS(=O)(=O)c3ccc(C)cc3)C(=O)c3ccccc3C2=O)CC1,sol_time,inf
constant-0,O=C(c1ccc(C2=CC3(CCNCC3)Oc3ccccc32)cc1)N1CCCCC1,sol_time,inf
constant-0,COc1ccccc1-c1cc(C(=O)O)nc2c(-c3cccc(O)c3)nc(N3CCOCC3)nc12,sol_time,inf
constant-0,O=C(C1CCCCC1)n1nc(-c2ccccc2)c2c1CCN(S(=O)(=O)c1ccc(F)cc1)C2,sol_time,226.0
constant-0,CCN(CC)CC1CN(CCc2ccccc2)Cc2nccn2C1,sol_time,691.0
constant-0,CS(=O)(=O)CCN1CC(c2ccccc2)(c2ccccc2)CCC1=O,sol_time,487.0
constant-0,COCC(=O)NCc1cc(=O)n2c(n1)CN(Cc1cccs1)CCC2,sol_time,410.0
constant-0,CCCCC1(O)CCCn2nc(COc3ccccc3)cc21,sol_time,170.0
constant-0,CCN1c2ncccc2-c2nccn2-c2c(C)ccnc21,sol_time,inf
constant-0,COc1ccc(C(=O)NC2CCN3CCc4c([nH]c5ccccc45)C3C2)cc1,sol_time,inf
constant-0,CCOC(=O)C1(C(NC(=O)OC)c2ccco2)CCCC1=O,sol_time,inf
constant-0,CN1CC2CN(Cc3ccccc3)CCN2c2cccnc21,sol_time,431.0
constant-0,Cc1c(NC(=O)Cc2cccs2)ccc2[nH]nc(C=Cc3cccc(CN4CCN(C)CC4)c3)c12,sol_time,308.0
constant-0,COCCOCC(=O)Nc1cccc2c1Cc1c-2n[nH]c1-c1csc(C#CCOc2ccccc2)c1,sol_time,286.0
constant-0,COc1cc(-c2c3c(nc4cc(OC)c(OC)c(OC)c24)COC3=O)cc(OC)c1OC,sol_time,inf
constant-0,Cc1ccc(N2CCN(Cc3ccccc3)C2)cc1,sol_time,inf
constant-0,NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)N1,sol_time,inf
constant-0,CCC(C)C(=O)c1c(O)c(CC=C(C)C)c(O)c2c(-c3ccccc3)cc(=O)oc12,sol_time,inf
constant-0,Cc1c2c(c(C)c3c1[nH]c1ccccc13)CN(C)CC2,sol_time,277.0
constant-0,COCCCCCCCCCCCCCCCC=C1CC(CO)(COC(=O)C(C)(C)C)OC1=O,sol_time,inf
constant-0,Nc1nc(=O)c(CCCCC(=O)O)c(O)[nH]1,sol_time,225.0
constant-0,CCCCc1nc2ccccc2c2nc(-c3ccc(Cl)cc3)nn12,sol_time,inf
constant-0,C=CCNC(=O)N1c2ccccc2Sc2ccccc21,sol_time,inf
constant-0,CC(N1CCn2nc(-c3ccc(Cl)cc3)nc2C1)C(O)(Cn1cncn1)c1ccc(F)cc1F,sol_time,45.0
constant-0,CN(c1ccc([N+](=O)[O-])cc1)c1cc2c(c3c1ccn3C)C1CCC2C1,sol_time,inf
constant-0,CS(=O)(=O)NCC1Cn2c(-c3ccccc3)cnc2CO1,sol_time,133.0
constant-0,NCCC(CN)NCc1ccc(CNC(CN)CCN)cc1,sol_time,inf
constant-0,c1ccc(-c2cc(CNc3nncc(-c4cccc5ccccc45)n3)n[nH]2)cc1,sol_time,118.0
constant-0,CN1CC=C(c2c[nH]c3ccc(C4COCCO4)cc23)CC1,sol_time,inf
constant-0,NC(=O)C12CCC(=O)N1CC(=O)N2,sol_time,116.0
constant-0,Cn1c(C(N)=O)cc2c1CN(C(=O)C1CC(=O)N(C(C)(C)C)C1)CC2,sol_time,inf
constant-0,COc1ccc(OC)c2c(C(=O)O)c(Cc3ccccc3)ccc12,sol_time,334.0
constant-0,OCCC1CN(C2CCN(c3ccccc3F)CC2)CCN1Cc1ccccc1,sol_time,inf
constant-0,CN(C)C(=O)N1CC(=O)NCC12CCN(C(=O)c1ccco1)C2,sol_time,inf
constant-0,Oc1cc2c(cc1O)C1CC1C2,sol_time,inf
constant-0,CC(=Nc1ccc2c(c1)C(NC(=O)c1ccc(C(F)(F)F)cc1)C(O)C2)N(C)Cc1ccc(F)cc1,sol_time,152.0
constant-0,CC(C)(C)C(=O)N1Cc2cnnn2-c2ccccc2C1C#N,sol_time,inf
constant-0,COc1ccc(C(c2nnnn2CS(=O)(=O)c2ccc(C)cc2)N2CCN(Cc3ccccc3)CC2)cc1,sol_time,141.0
constant-0,Cc1cc(O)cc2c1-c1ccc(O)c(C)c1OC2,sol_time,598.0
constant-0,Fc1ccc(-n2ncnc2-c2cc3c(s2)-c2ccccc2OCC3)c(F)c1,sol_time,inf
constant-0,Nc1nc(N)c2nnn(CC3CCC(CO)C3)c2n1,sol_time,inf
constant-0,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1,sol_time,265.0
constant-0,COc1ccc(OC)c(N2C(N)=C(C#N)C(c3ccc(OC)c(O)c3)C3=C2CC(C)(C)CC3=O)c1,sol_time,inf
constant-0,CC(=CC=Cc1ccccc1)C1=CC(=O)C(C)(C)O1,sol_time,inf
constant-0,COc1cccc(N(C(=O)C2COc3ccccc3O2)C(C(=O)NC2CCCCC2)c2ccc(O)cc2)c1,sol_time,219.0
constant-0,Cc1c(-c2ccccc2)[nH]n(-c2nc3ccccc3[nH]2)c1=O,sol_time,inf
constant-0,COc1ccncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,sol_time,89.0
constant-0,CCCCOc1ccccc1C1CC(=O)Nc2cc(C)c(C)cc21,sol_time,506.0
constant-0,CS(=O)(=O)N1CCc2[nH]cnc2C12CCN(C(=O)c1ccccc1)CC2,sol_time,inf
constant-0,CC(C)N(C(=O)c1cccc2c1Nc1ccccc1C=C2)C(C)C,sol_time,inf
constant-0,CCCN(CCC)c1cc(C)nc2c(-c3c(C)cc(N(C)C)nc3C)c(C)nn12,sol_time,197.0
constant-0,CC(=O)N1CCN(C)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,sol_time,inf
constant-0,N#CCn1c2ccccc2c2nc3nonc3nc21,sol_time,94.0
constant-0,CC(C)N(C)Cc1ncn2c1CN(CC(=O)N(C)C)CCC2,sol_time,539.0
