algorithm,similes,property,value
Tanimoto-distance,CCOc1ccc(N(CC(=O)NC2CCCCC2)C(=O)CCCC(=O)Nc2ccccn2)cc1,sol_time,948.0
Tanimoto-distance,CN1CCC(=C2c3ccccc3Oc3ccc(Cl)cc32)CC1,sol_time,997.0
Tanimoto-distance,COc1cc(O)c2c(=O)cc(-c3cc(O)c(O)cc3Cc3cccc(Cl)c3)oc2c1,sol_time,inf
Tanimoto-distance,N#CCCCSC(=S)n1ccnc1,sol_time,174.0
Tanimoto-distance,CSC(=O)C#CC(C)(C)N(C)Cc1ccccc1,sol_time,1667.0
Tanimoto-distance,CC(=O)Nc1nc(C)c(-c2nc(C(C)(C)CCO)no2)s1,sol_time,869.0
Tanimoto-distance,NC(=O)C(CCC(F)(F)F)N(CCc1ncon1)S(=O)(=O)c1ccc(Cl)cc1,sol_time,inf
Tanimoto-distance,NCC(=O)N1CC(N)CC1C(=O)NC(CCc1ccccc1)C(=O)Nc1ccc2ncccc2c1,sol_time,inf
Tanimoto-distance,CCN(CC)C(=O)c1ccc(N(c2cccc(OC)c2)C2CCN(CC=C(C)C)CC2C)cc1,sol_time,1350.0
Tanimoto-distance,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2ccc(-c3ccccn3)s2)CC1=O)C(=O)c1nccs1,sol_time,inf
Tanimoto-distance,Cc1nc(NC2CCCC2)c2nn(C)c(-c3ccc(Cl)cc3Cl)c2n1,sol_time,1790.0
Tanimoto-distance,C#CC(CC(=O)O)NC(=O)Cn1ccc2ccc(N3CCNCC3)cc2c1=O,sol_time,inf
Tanimoto-distance,O=c1c(C=NNc2nc(N3CCOCC3)c3ccsc3n2)coc2ccccc12,sol_time,682.0
Tanimoto-distance,O=C(NC1CCCCC1)C1Cc2c(sc3ccccc23)CN1,sol_time,263.0
Tanimoto-distance,O=C1CSC(C23CC4CC(CC(C4)C2)C3)N1CCN1CCCCC1,sol_time,386.0
Tanimoto-distance,O=C1c2cccc3cccc(c23)C(=O)N1CCN1CCN(CC(O)COCc2ccc(Cl)cc2)CC1,sol_time,921.0
Tanimoto-distance,COc1ccc2oc(NC3CCN(Cc4ccccc4)CC3)cc(=O)c2c1,sol_time,1324.0
Tanimoto-distance,Fc1cccc(CN2CCC(COc3nc4ccsc4n4cccc34)CC2)c1,sol_time,152.0
Tanimoto-distance,COCc1ccccc1C1C(C(=O)C(C)(C)C)C(=O)C(=O)N1c1ccc(-c2noc(C)n2)cc1,sol_time,263.0
Tanimoto-distance,CN(C(=O)c1ccccc1OC(F)(F)F)C1COc2nc([N+](=O)[O-])cn2C1,sol_time,782.0
Tanimoto-distance,O=C(NC1CC(Oc2ccc(-c3ccccc3)cc2)CC1O)C(c1ccccc1)c1ccccc1,sol_time,938.0
Tanimoto-distance,C=CC(=O)NCCCCC(NC(=O)OCc1ccc(C)cc1)C(=O)O,sol_time,311.0
Tanimoto-distance,Cc1cc(C=Nn2cnnc2)c(C)n1-c1cc(Cl)ccc1Cl,sol_time,inf
