algorithm_alias,property,0.0,0.05,0.1,0.25,0.5,0.75,0.9,0.95,1.0
FNP-NN,sol_time,78.0,172.9,208.8,235.5,256.5,277.0,305.1,334.94999999999993,414.0
FNP-NN * 10,sol_time,46.0,99.8,121.5,157.0,215.0,285.0,363.50000000000006,398.94999999999993,494.0
FNP-NN * 100,sol_time,3.0,7.95,12.9,36.75,89.5,221.75,377.8000000000006,642.3999999999996,1882.0
GNN,sol_time,109.0,185.1,219.4,237.75,252.0,274.5,303.70000000000005,350.34999999999997,518.0
GNN * 10,sol_time,28.0,65.8,77.9,112.25,151.5,210.0,258.5000000000001,299.15,526.0
GNN * 100,sol_time,3.0,7.0,9.0,14.0,28.0,65.0,150.00000000000026,327.5999999999986,
Retro* PT,sol_time,37.0,75.4,110.4,167.5,230.5,285.5,371.4000000000001,471.4999999999999,719.0
Tanimoto,sol_time,94.0,194.55,216.9,242.0,256.0,274.75,304.1,352.5999999999999,487.0
Tanimoto * 10,sol_time,18.0,57.400000000000006,82.6,108.75,170.5,236.25,353.3,420.19999999999993,526.0
Tanimoto * 100,sol_time,6.0,7.0,8.0,16.75,37.5,88.0,260.8000000000004,498.8499999999991,
constant-0,sol_time,106.0,224.55,242.1,254.0,273.0,286.25,299.1,311.94999999999993,555.0
