smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
COc1ccc(F)c(-c2ccc(COc3cc(C(CC(=O)O)C4CC4)ccc3F)nc2CC(C)(C)C)c1,68027,inf,inf,12.54311233137522,inf,2.0,1000,330677
CCc1cc2nncc(N3CCc4[nH]nc(C(=O)NC5CC5)c4C3)c2cc1OC,301,61,10.257017412710614,9.33565184253131,6.0,2.0,61,4190
Clc1ccc(-n2cncn2)c(Cc2nc3c(NCCC4CCCCN4)nccc3o2)c1,13297,243,20.60736817273956,16.841345516951186,7.0,2.0,782,90436
CCOCc1nc2c(N)nc3ccc(O)cc3c2n1CC(C)(C)NS(C)(=O)=O,11,6,2.4479452429065396,2.0315502514654025,6.0,1.0,6,287
O=C(O)CCNC(=O)c1nc(-c2ccncc2)c2c(cc(-c3ccccc3)c(=O)n2CC2CCCCC2)c1O,15,5,0.8760824034957556,0.8760824034957556,5.0,1.0,8,341
CC(C)CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,19,7,3.018203487083178,2.2209863930650093,6.0,1.0,8,290
CCc1cc2c(Br)cnnc2cc1OC,17,8,4.104401901624833,3.5867834730340267,5.0,1.0,8,496
CN(CCCOc1ccc(-c2cc3c(ncn3C)c(C#N)n2)cc1C(F)(F)F)C(=O)C1CCCCN1C,440,37,9.291426990034077,6.71734820963445,7.0,1.0,66,8640
CCCCCNc1nc(N)nc(C)c1Cc1ccc(CC(=O)OCCN(C)C)cc1,153,24,8.892437027291807,7.524657559947497,5.0,1.0,32,4599
CCOC(=O)C1(c2ccc(-c3ccc(-c4onc(C)c4CCOCc4ccncc4)cc3)cc2)CC1,60,9,4.742442808643406,3.7520505346348934,5.0,1.0,9,1035
CCOc1cn(-c2cccc(C(F)(F)F)c2)nc(-c2ccnn2-c2ccccc2)c1=O,31,12,3.6187837369247884,3.5212208532849427,7.0,1.0,12,852
COc1cc(N)c(Cl)cc1C(=O)NCCCC1CN(Cc2ccccc2)CCO1,193,32,8.166881916575665,5.744466213514448,5.0,1.0,63,4479
CCC(=O)NC1CCCc2c(-c3cc(Cl)c4c(c3)CCC(=O)N4C)cncc21,2175,36,13.945444614053343,9.469370117597409,7.0,2.0,64,8469
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(C2CC2)cc1F,7612,inf,inf,20.587725192595585,inf,3.0,1000,102406
c1ccc(-c2cc3cc(-c4ccncn4)c(-c4ccco4)nc3[nH]2)cc1,399,87,8.30630163509121,7.039327500046517,8.0,2.0,87,9289
CCCCc1nc2c(N)nc3ccccc3c2n1CCCN(Cc1ccc(CC(=O)OC)cc1)C(=O)CS(C)(=O)=O,23,9,3.2252145634702907,2.98650084492519,8.0,1.0,10,546
CCC1Cc2cc(OCC(C)C)c(OC)cc2-c2cc(=O)c(C(=O)O)cn21,745,75,9.846161650557445,4.027905818018724,8.0,1.0,111,14213
CC(=O)c1cc2c(cc1Cl)NCC(C(=O)N1CCC(C#N)(Cc3ccc(F)cc3)CC1)O2,374,27,16.45058165120774,11.930606147607715,4.0,2.0,71,4150
Cc1cc(C)cc(-c2c(OCC[C@@H]3CCCCN3)c3cc(NC(=O)NC4CC4)c(Cl)cc3[nH]c2=O)c1,15413,499,21.039655073264363,10.39928761428361,12.0,2.0,556,154767
CC(C)c1ccc2c(Nc3cc(C(=O)O)ccc3Sc3ccc(NC(=O)OC(C)(C)C)cc3)ncnc2c1,37,11,5.6429337323302535,3.8418306743215993,8.0,1.0,11,625
