smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
COc1ccc(F)c(-c2ccc(COc3cc(C(CC(=O)O)C4CC4)ccc3F)nc2CC(C)(C)C)c1,9999,inf,inf,11.65480231264761,inf,2.0,382,72602
CCc1cc2nncc(N3CCc4[nH]nc(C(=O)NC5CC5)c4C3)c2cc1OC,296,61,10.256999777204125,9.335631608514705,6.0,2.0,61,4129
Clc1ccc(-n2cncn2)c(Cc2nc3c(NCCC4CCCCN4)nccc3o2)c1,9999,357,29.26021333940834,16.640865494658335,10.0,2.0,668,69684
CCOCc1nc2c(N)nc3ccc(O)cc3c2n1CC(C)(C)NS(C)(=O)=O,11,6,2.4478976571798596,2.0315293248430963,6.0,1.0,6,287
O=C(O)CCNC(=O)c1nc(-c2ccncc2)c2c(cc(-c3ccccc3)c(=O)n2CC2CCCCC2)c1O,15,5,0.8760742747386606,0.8760742747386606,5.0,1.0,8,341
CC(C)CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1,23,7,3.018194358905376,2.2209927105097402,6.0,1.0,8,290
CCc1cc2c(Br)cnnc2cc1OC,17,8,4.1043913354212,3.586786769489331,5.0,1.0,8,496
CN(CCCOc1ccc(-c2cc3c(ncn3C)c(C#N)n2)cc1C(F)(F)F)C(=O)C1CCCCN1C,488,33,7.06151959467157,6.795936843300891,7.0,1.0,67,8894
CCCCCNc1nc(N)nc(C)c1Cc1ccc(CC(=O)OCCN(C)C)cc1,159,24,8.892421045733922,7.524655726173005,5.0,1.0,32,4599
CCOC(=O)C1(c2ccc(-c3ccc(-c4onc(C)c4CCOCc4ccncc4)cc3)cc2)CC1,56,10,4.916654280868409,3.405911453294803,5.0,1.0,10,959
CCOc1cn(-c2cccc(C(F)(F)F)c2)nc(-c2ccnn2-c2ccccc2)c1=O,31,12,3.6187531605821874,3.521207064309356,7.0,1.0,12,852
COc1cc(N)c(Cl)cc1C(=O)NCCCC1CN(Cc2ccccc2)CCO1,183,32,8.166857531511125,5.7444542167606985,5.0,1.0,63,4479
CCC(=O)NC1CCCc2c(-c3cc(Cl)c4c(c3)CCC(=O)N4C)cncc21,2168,37,13.945430265546758,9.499258379008037,7.0,2.0,64,8935
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(C2CC2)cc1F,7582,inf,inf,20.58769200096695,inf,3.0,1000,101989
c1ccc(-c2cc3cc(-c4ccncn4)c(-c4ccco4)nc3[nH]2)cc1,383,88,8.306310156372161,7.034253154051088,8.0,2.0,88,8999
CCCCc1nc2c(N)nc3ccccc3c2n1CCCN(Cc1ccc(CC(=O)OC)cc1)C(=O)CS(C)(=O)=O,25,9,3.225189045592943,2.986495167267525,8.0,1.0,10,546
CCC1Cc2cc(OCC(C)C)c(OC)cc2-c2cc(=O)c(C(=O)O)cn21,738,75,9.846142064078284,4.027871412161849,8.0,1.0,112,14227
CC(=O)c1cc2c(cc1Cl)NCC(C(=O)N1CCC(C#N)(Cc3ccc(F)cc3)CC1)O2,374,48,17.130936702322696,12.135423347939053,4.0,2.0,71,4235
Cc1cc(C)cc(-c2c(OCC[C@@H]3CCCCN3)c3cc(NC(=O)NC4CC4)c(Cl)cc3[nH]c2=O)c1,9999,inf,inf,10.399247836635485,inf,2.0,415,106606
CC(C)c1ccc2c(Nc3cc(C(=O)O)ccc3Sc3ccc(NC(=O)OC(C)(C)C)cc3)ncnc2c1,37,11,5.642920728262353,3.841828156566761,8.0,1.0,11,625
CS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2(C#N)C3CC4CC(C3)CC2C4)cc1F,9999,inf,inf,13.813516995786182,inf,2.0,351,104091
COc1c(N2CCN(C(=O)COC(C)=O)CC2)cc(Br)cc1C(C)(C)C,38,7,10.462594563554717,9.347464597263683,3.0,1.0,15,1091
CC(=O)Nc1c(-c2ccc3c(c2OC2CCC2)CC[C@H](C)N3C(=O)C2CC2)cnn1C1CC1,2348,114,15.470193576546281,10.772191508142706,8.0,2.0,146,18642
CCC(C)(C)Cc1c[nH]c(C(Cc2ccc(-c3cn(C)nc3N)cc2)NC(C)=O)n1,312,70,7.038836082559915,6.715769293674594,8.0,2.0,70,5336
CN(C)CCNC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,29,14,4.0440613905829945,3.4230064998170917,6.0,1.0,14,797
Cn1cc(-c2ccc3c(ccn3CC3CCN(C(=O)CCc4ccccc4)CC3)c2)nn1,13,5,4.4471253672096145,4.212002185160637,5.0,1.0,7,353
Cn1nc(-c2ccc(OC(F)(F)F)cc2)cc1CCOc1ccc2ccn(CC(=O)O)c2c1,210,27,7.002449963742134,6.884453786509729,7.0,1.0,33,2360
COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2-c2nccs2)nc1OC,128,7,8.454948478978842,6.262368276242281,4.0,1.0,21,1518
CC(C)(C)n1ncc(-c2nc(CC(=O)NCC3CCOCC3)cs2)c1-c1ccc(C(F)(F)F)cc1,99,16,7.843083992480036,4.7674311728410315,6.0,1.0,23,1793
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC[C@@H](CN4CCN(C)CC4)OC)c4c3OCC4)nc2N1C(C)C,2646,109,12.0994863156497,7.610606107885931,11.0,1.0,121,12653
COc1cc(Oc2ccc(S(C)(=O)=O)nc2)cc2cc(C3=NCC(CC(=O)NCC(C)(C)O)S3)[nH]c12,57,6,8.015325515641367,2.7578078278642804,6.0,1.0,17,986
COc1cc(C(=O)NC2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C1CCCC1)CC(C)(F)C(=O)N2C,678,58,13.400343391940217,6.989909501917206,8.0,1.0,101,7224
COc1cc(C(=O)N2CC(C)(C)OC[C@H]2CCO)cc2nc(NC(C)c3cc(Cl)ccn3)oc12,308,6,12.066656379254528,8.038222212062323,6.0,1.0,17,542
NC(=O)c1sc(-n2cnc3ccc(CCCCN4CCOCC4)cc32)nc1-c1cccc(Cl)c1,1353,84,9.823409050372888,6.765445907186276,4.0,1.0,177,27806
