smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
CCC(CC)C(=O)NC(C(=O)NC(CC(=O)N1CCCC1)C(=O)NC(CC(=O)O)C(=O)NC(CO)CC(C)C)C(C)(C)C,9999,inf,inf,8.095536314061144,inf,1.0,381,66976
O=c1c2c(-c3ccccc3)csc2ncn1N=Cc1cn(-c2ccccc2)nc1-c1cccs1,4246,143,18.96460665187759,15.0633537476666,11.0,3.0,144,8816
CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)C(Cl)C2SC1,9999,inf,inf,9.889636455591152,inf,3.0,641,110614
Cn1c2cc(C(=O)O)sc2c2cnn(Cc3ccccc3F)c(=O)c21,209,53,7.824076643778431,7.311990595771295,7.0,1.0,53,4222
CCCCCCCCCCCCN(C)C,7,1,3.4966439983548794,2.6735191245468504,1.0,1.0,4,588
CC(C)CCCCCCCCCCCCC(=O)NCC(=O)NC1C(O)C(O)C(Nc2[nH]cnc3ncnc2-3)OC1C(O)CO,9999,inf,inf,7.668880683232886,inf,1.0,470,93786
NC(S)=NNc1ccnc2cc(Cl)ccc12,9999,inf,inf,19.848565204240124,inf,3.0,926,108403
O=c1cc(-c2ccnc(NC3CCOCC3)n2)ccn1C(CO)c1ccc(F)c(Cl)c1,9999,inf,inf,7.676698232230899,inf,2.0,360,160559
CS(=O)(=O)c1ccc(-c2cnc3ccc(-c4cncc(C(F)(F)F)c4)nn23)cc1,167,19,8.882058348814802,6.1865666082484925,5.0,1.0,21,1927
CC(COC(=O)N1CCC(n2c(=O)[nH]c3ccccc32)CC1)N(Cc1ccccc1)Cc1ccccc1,31,11,6.959510153108518,4.871740362106463,5.0,1.0,11,427
COc1ccc(C(=O)Nc2ncccc2C)cc1S(=O)(=O)N1CCOCC1,17,3,3.3956939058730438,2.59009785634231,2.0,1.0,8,554
CCc1cnc2c(c1SCC(=O)NCc1ccccc1)c(=O)n(C)c(=O)n2C,9999,inf,inf,10.098644706845874,inf,2.0,686,177637
