smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
COCC(O)=Nc1n[nH]c2cc(NC(O)=NC(C)c3ccccc3)ncc12,6179,inf,inf,12.921102612376286,inf,2.0,1000,53676
CC(CO)(NC(=O)Nc1nnc(C2CC2)s1)C1CCCCC1,29,12,3.888483624543188,3.8692302928153874,6.0,1.0,12,468
O=C(O)Cc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccccc2)C3=O)cc1,2135,48,12.846720341377768,8.364728025640511,4.0,2.0,166,70308
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(CNc4ccccc4)C3)C(C)C12,5832,inf,inf,5.161918232954939,inf,2.0,1000,112425
COc1cccc(CN(C(=O)Nc2ccc(-c3cn[nH]c3)cc2)C(C)C)c1,9,4,2.352634941299887,1.7212618773106454,3.0,1.0,4,168
C[n+]1c(C#Cc2ccccc2)n(CC#Cc2ccccc2)c2ccccc21,9999,inf,inf,12.700522906520337,inf,2.0,594,159155
CCc1nc(N)nc(N)c1C#CC(C)c1ccc(-c2ccc(C)cc2)cc1OC,3125,196,10.422546800744518,8.949318707484501,6.0,2.0,197,48359
CS(=O)(=O)c1ccc(-n2nc(C(F)F)c(C#N)c2-c2cc(F)cc(F)c2)nc1,456,25,11.435257869957555,8.849118593035474,5.0,2.0,88,7330
Fc1ccc(C2CC(c3ccc(F)cc3)C3C(=NOCc4ccccc4)C2C(c2ccc(F)cc2)NC3c2ccc(F)cc2)cc1,9443,inf,inf,19.22406649508748,inf,3.0,1000,242663
CCOc1ccc(C=CC(=O)c2ccccc2)cc1OC,3,2,0.9752213381345913,0.9752213381345913,2.0,1.0,2,138
COC(=O)c1cc2c(CCCNC(C)=O)c(OC)ccc2[nH]1,1220,116,9.818859984623414,6.851946741215909,7.0,1.0,172,28832
CC1CCCN(Cc2cn3c(-c4cccc(Br)c4)nnc3s2)C1,17,5,5.852157578982806,4.1876070919916355,4.0,1.0,9,215
COc1ccc(C2CNC(=O)C2)cc1OCc1ccccc1,19,9,5.069500957929611,4.249563912113535,4.0,1.0,9,479
CC(C)(C)CN1CCC2(CC1)CN(c1ccccc1N=C(O)Nc1nc3ccc(Cl)nc3s1)c1c(O)ccc(-c3nc4ccc(Cl)cc4s3)c12,9152,inf,inf,13.416912889568861,inf,2.0,1000,147890
Cc1ccc(-c2nn(-c3ccccc3Cl)cc2C(=O)NCC2CCCO2)cc1,73,12,5.887142666861382,4.547167586204721,7.0,1.0,12,601
CC(C)(O)c1cncc(-c2nc3ccc(F)cn3c2Cl)c1,15,5,3.9230093585486294,3.1719298905534257,5.0,1.0,7,332
COC(=O)N=c1[nH][nH]c2cc(NC(O)=NC(C)c3ccc(Cl)c(C(F)(F)F)c3)ncc12,9999,inf,inf,20.765975611296067,inf,4.0,903,59117
N=C(Nc1ccc(-c2ccc(-c3ccc(NC(=N)c4ccccn4)c(Cl)c3)o2)cc1Cl)c1ccccn1,126,28,5.2630926987111595,4.104600007717451,8.0,1.0,28,2357
COc1ccc(CN2CCOCC2c2nc(-c3ccncc3)c[nH]2)cc1,53,5,9.017306370020645,6.034779626005746,4.0,1.0,17,681
CN(C)C=C1C(=O)N(c2ccc(Cl)cc2)c2ccccc21,16,4,7.017853938185379,5.021289907595499,2.0,1.0,5,181
CC1N=C(c2ccccc2)c2cc(Cl)ccc2-n2c1nnc2N1CCOCC1,3867,inf,inf,11.921331591939516,inf,2.0,1000,57734
Oc1cccc(C=Cc2ccc3cccc(OCc4ccccc4)c3n2)c1,3,2,1.723684437313055,1.723684437313055,2.0,1.0,2,64
CNC(=O)Cn1cc(C#N)c2cc(Oc3ccc(NC(=O)C4CCCN4)cc3)ccc21,44,19,5.914038621090037,3.552004391063063,8.0,1.0,20,1274
COCOCCc1cnc(OC)nc1OC,17,4,5.517099044693185,3.293105744097944,2.0,1.0,9,374
C=C(c1ccccc1)n1ccnc1,1,inf,inf,inf,inf,inf,1,1
CC(NC(=O)C(C#N)=Cc1cccnc1)c1ccccc1,3,2,1.320609604199188,1.320609604199188,2.0,1.0,2,42
CCc1cc(C(=O)c2ccccc2)ccc1C=CS(N)(=O)=O,462,101,9.405250285568526,8.357855278968339,6.0,2.0,101,8482
COCCc1cc(C(=O)C(=O)Nc2ccc(OC(F)(F)F)cc2)c2ccccn12,1745,198,17.80137142064447,11.738925317047155,4.0,2.0,235,35877
Cc1cc(Br)c(OCc2ccc(C(=O)NN=C3CC(=O)CC(C)(C)C3)cc2)c(Br)c1,73,12,6.212959744922986,5.206184743269655,4.0,1.0,14,1004
Cc1cc(C)cc(NC(=O)N2CCCC2C(=O)NCc2ccco2)c1,10,3,6.336413432608574,1.8887351830137455,3.0,1.0,4,119
CCN(CC)CCn1c2c(c(SCC(=O)Nc3ccccc3Cl)nc1=O)CCCC2,8919,357,18.466470890927596,12.521834791094037,6.0,2.0,357,141077
COc1ccccc1-c1csc2nc(N3C4CCC3COC4)nc(N3CCOC(C(N)=O)C3)c12,9999,inf,inf,11.899584043996573,inf,2.0,460,81840
CNc1ccc(C=Cc2cccc(C=Cc3ccc(NC)c(O)c3)n2)cc1O,2602,40,12.195989910385624,7.802583452147137,6.0,2.0,183,45604
Cn1c(=O)c(-c2cccs2)nc2c(Cl)c3ncccc3cc21,378,18,16.393841129876577,11.408821700413627,6.0,2.0,92,5754
COc1ccc2nc3c(O)n(N=Cc4ccc(OC)c(CN5CCCC5)c4)c(C)nc-3c2c1,9999,inf,inf,15.77260204711342,inf,3.0,339,50935
O=C(Cc1cc[n+]([O-])cc1)N1CCN(C2c3ccc(Cl)cc3SCc3cccnc32)CC1,9999,inf,inf,13.813120194429672,inf,2.0,121,12471
COc1ccc(-c2coc3cc(OC)c(OC)cc3c2=O)cc1,17,3,3.3790526308645443,2.9840049288756685,2.0,1.0,6,942
O=C1C(=CN2N=C(c3ccccc3)CC2c2ccccc2O)SC(=S)N1c1cccnc1,9999,inf,inf,30.714122740640878,inf,5.0,462,39599
CC[N+](CC)(CC)CCC[n+]1ccc(C=NOCc2c(Cl)cccc2Cl)cc1,9999,inf,inf,20.4101414631525,inf,4.0,301,82434
CCN(CC)CCNC(=O)Cn1cnc2sc(C)c(S(=O)(=O)N3CCN(c4ncccn4)CC3)c2c1=O,1187,112,9.382307155147073,8.44287930789818,7.0,1.0,112,16887
COc1cc(OC)cc(C(=O)Nc2ccc(-c3ccccc3)cc2[N+](=O)[O-])c1,17,4,2.7945955454938565,2.099054864662008,3.0,1.0,5,578
COc1cc(C=CC(=O)OC23CC4CC(CC(C4)C2)C3)ccc1O,11,6,3.7403508258709275,3.152391899774777,2.0,1.0,6,148
O=C(c1cccc(-c2ccccc2F)c1)N1CCC(N2CCC(O)CC2)C(O)C1,3669,inf,inf,8.830746760373534,inf,1.0,1000,105258
COC(=O)C(C)n1cnc2c(nnn2-c2ccccc2)c1=O,115,30,7.865507437620112,7.253311531139447,4.0,2.0,30,2161
O=[N+]([O-])OCCCNCCCCNc1c2c(nc3ccccc13)CCCC2,41,12,3.5745287898725184,3.1589985571389327,4.0,1.0,12,821
Cc1n[nH]c(C(F)(F)F)c1CC(=O)NCc1ccc(F)c(F)c1Cl,854,13,12.047221063730419,8.055145565465184,6.0,1.0,25,2593
CNc1nc(Nc2ccc(C(=O)N3CCN(C4CCC4)CC3)cc2OC)ncc1Br,5,3,0.5146613785265094,0.5146613785265094,3.0,1.0,3,123
