smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
CCCc1c(C(=O)NNc2ccc(C)cc2)cnn1-c1ccccc1,7,3,3.163720592092609,2.6324993914587225,3.0,1.0,4,141
Cn1c(OC2CCN(c3ccc(CN4CCCCC4)cc3)CC2)nc(-c2ccncc2)cc1=O,4224,251,19.83910533473233,14.248402655490356,6.0,2.0,253,55245
CS(=O)(=NC(N)=O)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,9999,inf,inf,15.57322242396543,inf,3.0,129,55676
CN1CCN(CCCn2c(=O)c3cc(NCCCN4CCOCC4)c4c(=O)n(CCCN5CCN(C)CC5)c(=O)c5cc(NCCCN6CCOCC6)c(c2=O)c3c54)CC1,7036,inf,inf,5.609685772698913,inf,1.0,1000,429359
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1-c1cscc1Br,7707,inf,inf,13.226695036725722,inf,2.0,1000,111337
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1112,186,12.385144926394819,9.738589748730309,5.0,2.0,193,21846
NC(=O)c1ccsc1NC(=O)c1cc(=O)c2ccccc2o1,62,5,6.0406716434426055,5.976530547249416,3.0,1.0,16,815
CN1CCN2c3c(cccc31)C1CN(CC3CC(c4ccc(F)cc4)=NO3)CCC12,9999,inf,inf,10.50538357475788,inf,2.0,805,126927
CC1(C)CCc2cc(S(=O)(=O)N(CCOC(=O)N3CCCCC3)Cc3cccc(Oc4ccccc4)c3)ccc2O1,117,16,5.488141111421793,5.121415825795666,7.0,1.0,22,1609
Cc1cc2cc(-c3ccc(C(C)C(=O)O)cc3)ccc2[nH]1,201,9,6.082308831531877,4.715405323271614,3.0,1.0,25,3683
Cc1cccc(C)c1CC(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NCCC(N)=O,9999,inf,inf,8.686724877269603,inf,1.0,277,76522
CC1=NN(c2ccc(S(N)(=O)=O)cc2)C(=O)C1=Cc1ccc(-c2ccc3c(c2)C(=O)NC3=O)o1,101,13,8.484320392446044,6.507332482897237,4.0,2.0,18,1081
Cc1ccc(NC(=O)CSc2ncccn2)c([N+](=O)[O-])c1,11,2,5.291553558867552,3.1869139928327623,2.0,1.0,5,254
COc1cccc(OCCNC(=O)c2ccc(C)cc2)c1,7,2,3.1000638442500925,2.181016262510081,2.0,1.0,3,342
NC(CCN1CCCC1c1nnc(-c2ccccc2)o1)Cc1ccccc1F,9999,inf,inf,9.075294246106857,inf,2.0,818,165668
CCCCN(Cc1ccccc1)S(=O)(=O)c1cc(Br)cc2c1N(C(C)=O)CC2,9,4,2.4473678345420176,2.4473678345420176,4.0,1.0,4,169
O=c1c2cnn(-c3ccccc3)c2nnn1Cc1ccccn1,7,4,1.6808235800828586,1.6808235800828586,4.0,1.0,4,224
O=C(Nc1nccs1)c1[nH]cnc1C(=O)N1CCc2ccccc2C1,477,116,12.983473090719059,9.275412249018705,5.0,2.0,117,9451
CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(N)=O)cs4)cc3c21,2273,126,12.910918894132388,10.018378718535333,8.0,2.0,126,27810
COc1cc(OC)c(C(=O)C=Cc2ccccc2[N+](=O)[O-])c(OC)c1,5,3,2.24679632562577,2.1834371977591767,3.0,1.0,3,197
CCOc1nn2c(=N)n(CC(=O)c3cc(OCCO)cc(C(C)(C)C)c3)nc2c(CC)c1C,9999,inf,inf,13.13440100154806,inf,2.0,557,137566
Cc1cccc2cc(Cn3nc(-c4ccc5nc(N)[nH]c5c4)c4c(N)ncnc43)n(-c3ccccc3)c(=O)c12,3216,400,10.686390881347249,9.092642251430822,9.0,2.0,400,41623
O=C(C=Cc1ccccc1)Oc1cccc(C=C2SC(=S)N(C(Cc3ccccc3)C(=O)O)C2=O)c1,142,7,7.659444011340543,5.208866308660749,4.0,1.0,23,1950
Cc1ccc(C2c3c(-c4ccccc4O)n[nH]c3C(=O)N2CCCO)cc1,5407,inf,inf,11.584449360999498,inf,2.0,1000,96814
CCCc1nc(C)c(C(=O)NC2CCN(C3CC3)C2)s1,25,7,4.418602537827089,3.365807747220759,7.0,1.0,7,275
CCNC(=O)C1CCCN(Cc2cc(-c3ccccc3)on2)CC1,1354,59,13.248073709868958,8.765442230465439,7.0,2.0,147,19910
O=C(Nc1cccc(F)c1)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,9999,inf,inf,12.059311622432359,inf,2.0,374,167231
CN(C)CCOc1ccc(-c2cccc(N)n2)c2c1CCCC2,119,32,5.907833578402338,4.96184775397948,5.0,1.0,36,3376
c1ccc(-c2ccc(N3CC4(CCNCC4)C3)cc2)cc1,218,14,11.221488527854738,7.041437691699436,2.0,1.0,41,7137
COC=C(C(=O)OC)c1ccccc1COc1ccccc1C(=O)C=Cc1cccc(Cl)c1,21,7,3.06305694718245,2.385651318235035,6.0,1.0,7,496
Cc1ccc(NC(=O)c2ccnc(N3CCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,45,12,5.065747803852414,4.127234367673038,4.0,1.0,14,1314
Cc1ccc(-n2nnc3sc4c(c3c2=O)CCCC4)cc1,5,3,5.231770916597055,4.966747203360216,2.0,1.0,3,58
COc1ccc(NC(=O)CN(C)C(=O)CCCc2nc3ccccc3s2)cc1,86,5,7.6747666686580756,5.2353648162382935,4.0,1.0,21,1918
Cc1nc2cccc(-c3cc4c([nH]3)CCN=C4O)c2nc1NC1CC(F)(F)C1,9999,inf,inf,14.05713652498181,inf,3.0,420,35445
COC(=O)Nc1nc2cc(C(=O)O)ccc2[nH]1,15,3,5.638700026728881,3.449137358548615,3.0,1.0,6,378
CCC(C)(C)N=C(Nc1cccnc1)Nc1nccs1,21,9,11.613988098910518,10.517887324461157,3.0,2.0,10,123
COc1ccc(C(=O)NC(CC(=O)O)c2ccc(C)cc2)nc1-c1ccccc1C,217,34,8.921152863528249,6.835184095917006,6.0,1.0,34,3636
CCCCn1c(SCC(=O)N2CCC(C)CC2)nc2cc(S(N)(=O)=O)ccc21,81,27,7.465479475849266,6.1012903299972665,5.0,1.0,32,1798
O=C(NCCNCC(O)c1ccccc1)C1CCCCC1,9,1,3.82596959453469,3.0195966687693447,1.0,1.0,3,456
CCN1CCC2C(C1)c1ccc(C)cc1C2c1ccc(C#N)cc1,5371,inf,inf,7.246769673349565,inf,2.0,1000,157391
