smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
O=C1NC(=O)c2c1c1c3ccc(CN4CCCC4)cc3[nH]c1c1c2c2cccc3c2n1CCC3,8833,inf,inf,9.423975950308689,inf,2.0,1000,138747
NC(=O)c1c(F)ccc(OC(COC(=O)CCC(=O)O)c2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F,1074,132,14.294346244000733,8.832760060064299,8.0,1.0,242,23498
CC(C)CC(NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)C(N)=O,911,4,11.778942455427384,7.8723632413773,3.0,2.0,55,6523
CCC(C)C(=O)OC1C(=O)OC2CC3C(C)=CC(OC(C)=O)C(OC(C)=O)C3(C)C3C(O)C(OC(C)=O)C4(C)OCC23C14,9337,inf,inf,12.929625086613282,inf,2.0,1000,262644
FC(F)(F)c1csc(Nc2cc3ccccc3cn2)n1,3,2,1.4929887405016224,1.4929887405016224,2.0,1.0,2,81
N#CC(C#N)=C1CCC2C(=C(C#N)C#N)CCC12,7352,inf,inf,14.507864914871128,inf,3.0,1000,117984
NNC(=S)NN=CC(=CNc1ccccc1)[N+](=O)[O-],9999,inf,inf,32.02764153450995,inf,6.0,55,1237
COc1cc(C(=O)c2cccc3ccn(C)c23)cc(OC)c1OC,11,2,1.6311015447817296,1.6311015447817296,2.0,1.0,5,324
CCC12CCN(CC3(O)CC3)C(Cc3ccc(O)cc31)C2(C)C,8891,inf,inf,10.46447467636892,inf,2.0,1000,140457
O=C(NCCc1ccc(O)c2ccc(O)cc12)c1ccc(OC(F)(F)F)cc1,874,88,6.9416534801179175,6.652362433958019,6.0,1.0,88,15845
O=C(Nc1ccc(C(F)(F)F)nc1)N1CCN(c2ccccc2C(F)(F)F)CC1,6,3,4.707568692789911,4.707568692789911,3.0,1.0,3,169
Cc1ccc(S(=O)(=O)Nn2c(S)c(C#N)c(-c3ccc(N(C)C)cc3)c(C#N)c2=O)cc1,9999,inf,inf,12.240953125976038,inf,2.0,864,183663
Clc1nc(NCc2cccs2)c2[nH]cnc2n1,1,1,0.7051845551327478,0.7051845551327478,1.0,1.0,1,32
CN(CCCNCc1cccc2ccccc12)CCCNCc1cccc2ccccc12,51,8,3.9760214344311464,3.8897007017766496,3.0,1.0,22,2211
Cn1cnc(S(=O)(=O)Nn2c(=O)[nH]c3cc(Cl)ccc3c2=O)c1,7830,inf,inf,17.830981929836998,inf,3.0,1000,81594
COc1cccc(Nc2cc(C)nc3ccc4c[nH]nc4c23)c1,226,65,11.797271379112374,8.910617646977162,5.0,2.0,69,4556
CCN1C(=O)C(O)(CC(=O)C(C)(C)C)c2cc(Br)ccc21,11,3,3.1700898112759948,3.045510561461587,2.0,1.0,5,258
Cc1cccc(N(Cc2ccccc2)C(=O)CCl)c1,3,2,1.133637653795564,1.133637653795564,2.0,1.0,2,107
COc1ccc(NC(=O)COC(=O)Cc2c[nH]c3ccccc23)cc1OC,51,4,6.766214429615084,5.148496747970149,3.0,1.0,7,724
Cc1cccc(C(=O)Nc2ccnc(N(C)C3CCN(Cc4cccc(O)c4)CC3)c2)c1,342,45,9.019607414701904,8.787663441921438,5.0,2.0,45,3886
FC1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1,269,45,8.705940698127256,5.8305274139593415,3.0,1.0,69,6763
CC(NC(=O)c1cn[nH]c1)c1ccc(OC2CCN(c3ncnc(OCC4CC4)c3F)C2)cc1,125,38,6.972412953967588,6.078914763390427,6.0,1.0,38,2207
COc1cccc(NC(=O)Nc2cccn(Cc3ccc(F)cc3)c2=O)c1,25,3,3.9984522303593923,2.6726537211160117,2.0,1.0,6,616
O=C1OC(COc2ccc3ccccc3c2)(c2ccccc2)CC(O)=C1Sc1ccccc1Cl,354,43,10.521597667095703,10.42435177056682,5.0,2.0,43,3889
CCNC(=O)Nc1cn2c(-c3ncc(C)cn3)cc(-c3cnc(N4CCCC4)nc3)cc2n1,9999,inf,inf,14.304111938436844,inf,2.0,798,155577
Cc1ccc(O)c(C(=O)c2ccc3onc(C)c3c2)c1,101,10,5.905462740145424,4.313114671360076,5.0,1.0,23,2031
CS(=O)(=O)Nc1ccccc1C(=O)OCC(=O)NCc1cccs1,21,8,5.739534246451976,4.994901922205393,3.0,1.0,9,357
