smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
O=C(CN1CCN(S(=O)(=O)c2cccc(Br)c2)CC1)N1CCCCC1,3,2,1.1029416821445848,1.1029416821445848,2.0,1.0,2,121
CC(C)C(O)CC(O)C(CC1CCCCC1)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1Cc2ccccc2CN1,9999,inf,inf,10.39079887382708,inf,2.0,769,109214
CC(=O)N(C)C1CCC(N(C)C(C)=O)CC1,67,6,7.308769647128903,5.660052725473292,3.0,1.0,18,1639
c1ccc2sc(-c3cc4c(c(OC5CCOC5)c3)OCCN(Cc3cccn3-c3nccs3)C4)nc2c1,9999,inf,inf,15.048112703821655,inf,2.0,896,96075
C#CCN(C)CCC(=O)O,7,3,3.6443669828741525,2.6171295040859244,2.0,1.0,4,185
CC(=O)C1=C(C)N(c2cccc(C(F)(F)F)c2)C(=O)N(C)C1c1ccc(C#N)cc1C(O)=NC(C)c1ccco1,9999,inf,inf,12.224384993962946,inf,3.0,860,138415
Cc1ccc(CC(NC(=O)C(C)NC(=O)C2CCCN2C(=O)C2CC3CCCCC3N2C(=O)Cc2ccc(C(=N)N)cc2)C(N)=O)cc1,9999,inf,inf,11.620409837459409,inf,2.0,178,25248
CNC(=O)C1CCN(c2nccnc2C2CN(c3ccc4ccccc4n3)C2)CC1,13,4,2.648287980253121,1.9120716297878662,3.0,1.0,6,354
N=C(N)NCCCC1NC(=O)CNC(=O)CS(=O)(=O)CC(C(=O)O)NC(=O)C(CC(=O)O)NC(=O)CNC1=O,3700,inf,inf,8.13918245985521,inf,1.0,1000,113031
COC(=O)c1ccc(OCC(C)(C)c2nc3c(N)ncn(Cc4ccc(OC)c(OC5CCCC5)c4)c-3n2)cc1,7825,inf,inf,12.944238474537714,inf,2.0,1000,128512
OCC1CCN(c2nccnc2C2CN(c3nc4ccccc4s3)C2)CC1,5,2,1.2794917708693738,1.2794917708693738,2.0,1.0,3,137
O=C(NC1CCCCC1)C(c1ccncc1)N(C(=O)c1csnn1)c1ccc(F)cc1,9999,inf,inf,16.59981894935749,inf,3.0,445,61069
O=C(C1=CC(=O)c2ccccc2C1=O)c1ccc(Cl)cc1,79,28,9.144725571736041,7.814407721169766,3.0,2.0,33,1607
Nc1cc(O)nc(SCCSc2ccccc2F)n1,198,35,9.51801399404561,6.7904847307867655,4.0,2.0,44,3275
CCn1cc(C(=O)O)c(=O)c2cc(F)c(-n3cnc(C=NO)c3)c(F)c21,85,12,5.782378183500052,4.832702423030834,6.0,1.0,24,1751
c1ccc2cc3c(NCCc4c[nH]cn4)nnc(NCCc4c[nH]cn4)c3cc2c1,9999,inf,inf,12.240550747157634,inf,2.0,284,41726
Cc1ccc2nc3c(cc2c1C)nc(O)n3C,385,36,10.621478790495676,7.69769532606265,5.0,2.0,106,8615
CN1c2ccc(I)cc2C(=O)N2CCc3c([nH]c4ccccc34)C21,886,181,9.88946331651167,9.686556490025366,4.0,2.0,181,17443
NCCCC(c1ccccc1)(c1ccccc1)c1ccc(Cl)c(Cl)c1,8984,inf,inf,8.20427665800405,inf,2.0,1000,284910
N#Cc1ccc(C2CCN(c3cccc(C(=O)NC4C5CC6CC4CC(O)(C6)C5)n3)CC2)cc1,7,4,4.923373777812546,4.418562299742569,3.0,1.0,4,129
Cn1c(C#N)ccc1-c1ccc(NS(C)(=O)=O)c(C#N)c1,7,3,2.120978177435988,2.0035217366914213,3.0,1.0,4,290
O=Cc1ccc(C#Cc2cncnc2)cc1,1,1,0.8084218708847879,0.8084218708847879,1.0,1.0,1,69
CC(C)=CC1CC(C)(OC2OC(CO)C(O)C(O)C2O)C2CCC3(C)C2C(CC2C4(C)CCC(O)C(C)(C)C4CCC23C)O1,4696,inf,inf,6.755273989618509,inf,2.0,1000,118271
CCC(C)(C)NC(=O)C(c1ccccn1)N(C(=O)c1csnn1)c1ccc(C)cc1,9999,inf,inf,17.637808871004317,inf,3.0,601,83626
Cn1cc(C(=O)O)c(=O)c2cc(N)c(N3CCN(c4nc5ccccc5s4)CC3)cc21,95,31,8.675888732877958,7.411166722994708,7.0,1.0,32,1761
CCOc1ccccc1NC(=O)Cn1cnc2sc(C)c(S(=O)(=O)N3CCC(C)CC3)c2c1=O,671,73,14.96954586791387,8.353665783141945,9.0,2.0,76,11924
NC(=O)C1CCN(C(=O)CCSCc2ccccc2)CC1,3,2,1.7836182363836617,1.7836182363836617,2.0,1.0,2,106
CC(C)=CCC1CC2(CC=C(C)C)C(=O)C(C(=O)c3ccccc3)=C3OC(C(C)(C)O)CC3(C2=O)C1(C)C,8912,inf,inf,15.126357751363859,inf,3.0,1000,111199
C=C(C)COc1cccc(CNC(CC(C)C)c2ncnn2C)c1,3063,258,18.290756070381587,11.920442460029772,6.0,2.0,258,32846
OC(=Nc1cccnc1)c1cc(-c2cc3ccccc3o2)nc2ccc(-c3ccccc3)cc12,9999,inf,inf,12.791578578799268,inf,3.0,689,125589
Cc1ccc(C2NC3(CCCN(Cc4ccco4)C3=O)C3C(=O)N(C)C(=O)C23)cc1,6532,inf,inf,13.29438516418618,inf,2.0,1000,101245
CCOC(Cn1c(N)nc2c(ncn2C2OC(CO)C(O)C2O)c1=O)OCC,6724,inf,inf,10.146187778487192,inf,2.0,1000,130557
Clc1ccc(-n2nnc(-c3cc4ccccc4nc3Cl)n2)cc1Cl,1311,223,18.455093419252343,15.856792694604845,8.0,2.0,223,14964
Cn1c(=O)ccc2c(NC(=O)NC3CC(C)(C(F)F)Oc4ccccc43)cccc21,928,34,14.78426346960273,9.100525371933244,7.0,2.0,45,5691
Cc1ccc(-n2c(SCC(=O)Nc3cccc(Cl)c3)nc3[nH]nc(C)c3c2=N)cc1,9999,inf,inf,14.13637975200566,inf,2.0,998,133804
CCCCOC(=O)c1cc2c([nH]c3ccc(F)cc32)c(-c2ccc3c(n2)C(=O)C(NC(C)=O)=CC3=O)n1,9999,inf,inf,20.38651785221325,inf,3.0,561,79530
