smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
C=CCn1c(SCC(O)=C(C#N)C(C)=N)nc2sc(CC)cc2c1=O,9999,inf,inf,17.12212814586309,inf,4.0,451,45635
FC(F)(F)c1ccc(Nc2noc3c(-c4cccc(C(F)(F)F)c4)cccc23)cc1,116,31,6.178069472564655,5.543193135417484,3.0,1.0,31,2073
COc1cccc(C(=NO)NC2CCCCC2)c1,6941,inf,inf,32.336317107362134,inf,5.0,1000,63644
COc1cccc(CNC(=O)c2nc3c(c(C)nn3C)c(=O)[nH]2)c1,19,7,3.6524604271385535,3.6163363777818223,4.0,1.0,7,393
Cc1cccc(Sc2c(O)cc(S(=O)(=O)c3ccccc3)nc2C)c1,6816,inf,inf,11.534840050733862,inf,2.0,1000,163913
CS(=O)(=O)c1ccc(-c2cnc(Br)n2-c2ccc(F)cc2)cc1,25,7,7.4313826201749205,5.595450953867511,3.0,1.0,9,481
Cc1nn(C)c2c(NCc3ccccc3F)nc(C3CC3)nc12,139,50,8.380860313734633,8.252536656999782,6.0,2.0,50,1970
O=C(Nc1cc(Nc2ccc3c(c2)CCC3)nc2ccccc12)C1CCCC1,17,5,3.8236691873204087,3.279153581711293,3.0,1.0,8,474
CCN(CCO)c1ncc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1cncnc1,5,3,2.227211469426891,2.227211469426891,3.0,1.0,3,109
COC1COC(=O)C2CCCN2C(=O)C(C)COC(=O)CCCC1C,9999,inf,inf,7.158003670003093,inf,2.0,868,138206
COc1ccc2ncc(F)c(CC(OC)C34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2n1,9999,inf,inf,14.496521319136667,inf,2.0,832,68636
O=C(Nc1cncc(Oc2cncc(F)c2)n1)c1cccnn1,230,8,9.217680186868648,6.889535609533951,4.0,2.0,29,2046
CNS(=O)(=O)c1cc(NC(=O)c2cccc3cccnc23)ccc1C,38,6,4.756485466896121,3.528970766419791,4.0,1.0,7,503
COC(=O)C1(C)C2C(=O)N(Cc3ccccc3)C(=O)C2C2CN=C(SCc3ccc(C#N)cc3)N21,9999,inf,inf,15.080442012119551,inf,3.0,634,156069
Cc1ccc(CN2CCN(CC(Cl)=Cc3ccccc3)CC2CCO)o1,9999,inf,inf,10.096305344604417,inf,2.0,950,151743
