smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
CC(N1CCc2nc(-c3ccc(Br)cc3)sc2C1)C(O)(Cn1cncn1)c1ccc(F)cc1F,617,114,16.952471073147283,9.344786814885616,5.0,2.0,160,8760
O=C1NC2CSC(CCCCCc3cn(Cc4cccc(C(F)(F)F)c4)nn3)C2N1,9999,inf,inf,10.678387878086886,inf,2.0,522,61014
COC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)CNC(=O)OC(C)(C)C,8973,36,14.60816809445673,9.117877169833328,5.0,1.0,177,38675
CC(C)N(Cc1ccc2c(c1)C=CC(C)(C)O2)S(=O)(=O)c1cc(Cl)ccc1Cl,7,3,3.6622357099401146,3.320966377719765,3.0,1.0,4,267
CCC(C)C1NCCc2ccccc2C=CCCNC(=O)C(Cc2ccccc2)NC(=O)C(C)N(C)C1=O,4499,inf,inf,12.278426678163878,inf,2.0,1000,71553
COCCN(Cc1cc2cc(C)ccc2nc1Cl)C(=O)Nc1ccccc1C,27,9,11.299133327255788,9.568267405626738,4.0,2.0,10,342
O=S(=O)(NC1CCSc2ccccc21)c1ccccc1,9,5,2.323107702414177,2.323107702414177,5.0,1.0,5,252
O=C(CCCc1ccccc1)Nc1cccc([N+](=O)[O-])c1,3,1,1.39977120131382,1.39977120131382,1.0,1.0,2,86
COc1cc2c3c(cc4ccccc4c3c1OC)N(C)CC2,7547,inf,inf,11.882820984111287,inf,2.0,1000,233399
CCNC(=O)c1cnc2c(-c3ccccc3)c(C)nn2c1C,1102,167,14.294556081630654,11.951677565115554,7.0,2.0,167,17878
CC1CN(c2ncccc2C(F)(F)F)CCN1c1nc2ccc(C(C)(C)C)cc2[nH]1,10,3,2.5327992039361904,2.0915083560003658,3.0,1.0,4,184
CCOc1ccc2ccccc2c1C(=O)N1CC2CN(c3nccc(OC)n3)CC2C1,56,13,5.214390613369625,4.656150047739988,5.0,1.0,13,925
COC(=O)C(C=CC(=O)OC(C)(C)C)=CSc1ccccc1,9999,inf,inf,11.423392719454215,inf,3.0,544,143032
CN(C)CCCNC(=O)CCc1ccc(S(=O)(=O)N(CC(=O)NN=C2C(=O)Nc3ccccc32)c2ccc(Cl)cc2)cc1,128,26,7.685573890590082,6.50462103851787,7.0,1.0,29,1835
O=C(C=Cc1ccccc1O)c1cccc2ccccc12,3,1,0.9555693231404352,0.9555693231404352,1.0,1.0,2,226
O=C(NNc1ccccn1)c1ccccc1CC[N+](=O)[O-],7,4,4.26673458321701,2.0652895104227964,3.0,1.0,4,143
CC(CCCNC(=O)CO)N(c1cc(Cl)ccc1CO)S(=O)(=O)c1ccc(Cl)cc1,9999,inf,inf,7.9637746035462955,inf,2.0,868,223837
CS(=O)(=O)c1cccc(-c2nccc(Nc3cc(C4CC4)[nH]n3)n2)c1,5,3,2.12843690334428,1.9984485090944193,2.0,1.0,3,126
COc1ccc(C(=O)C=Cc2ccc(Cl)c(Cl)c2)c(OC)c1,3,2,0.6963358320838997,0.6963358320838997,2.0,1.0,2,152
O=C1C(Cl)=C(Nc2ccc(F)cc2)C(=O)c2[nH]c(C(F)(F)F)nc21,4267,inf,inf,22.508970831752137,inf,4.0,1000,40939
COC(=O)c1c(O)cccc1OCCCc1cnc(C(Cc2ccc(C3CC(=O)NS3(=O)=O)c(C)c2)NS(=O)(=O)c2cccc(F)c2)[nH]1,9999,inf,inf,14.452575023360662,inf,2.0,426,37843
CC(C)C(=O)N1CCOC(OC2CCC34CC35CCC3(C)C6C(C)CC(C(OC(=O)N7CCC7)C(C)C)OC6C(O)C3(C)C5CCC4C2(C)C)C1,4965,inf,inf,12.04043173994226,inf,2.0,1000,80492
CC1(CC(=O)O)CC(=O)NC1=O,121,30,13.85794613443249,8.208043794403672,3.0,1.0,32,1863
COc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1Cc1cn(CC(=O)Nc2ccc(C)cc2)nn1,71,17,5.599509620445329,4.862728203996777,7.0,1.0,17,893
OCCc1cc(-c2cncc(N3CCCNCC3)c2)on1,483,42,11.372852833922632,8.3083419653826,4.0,1.0,110,8856
CCn1cc(C(=O)NNC(=O)c2ccc(Cl)cc2)c(=O)c2ccc(C)nc21,45,8,4.627310451535629,4.60338664069173,4.0,1.0,9,493
N#Cc1nc(N2CCC(S(=O)(=O)c3ccc(F)cc3Cl)C2)cc(C(F)(F)F)n1,8114,285,18.66079043052449,12.992646742935193,11.0,2.0,285,36806
O=C(c1c(O)c2ccccc2oc1=O)C1CCC1,10,3,6.975833566021546,5.797782524261,2.0,1.0,4,185
O=c1cc(-c2ccccc2Cl)oc2c(C3CCCCC3O)c(O)cc(O)c12,9196,inf,inf,10.289080990886767,inf,2.0,1000,260915
OC(Cc1c(F)cc(Cl)cc1Cl)=NC1CCOc2ncccc21,4586,inf,inf,15.684106074459361,inf,3.0,1000,55564
Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c2c1=O,5,3,1.1573813041835965,1.1573813041835965,3.0,1.0,3,185
COc1cccc(NC(=O)c2ccc(C(F)(F)F)cc2C(=O)O)n1,11,3,4.147429286604895,2.4574692297537943,2.0,1.0,6,403
Clc1ccccc1-c1ccc2ncnc(N3CCNCC3)c2c1,15,2,3.5913628810780422,3.5913628810780422,2.0,1.0,8,541
COc1ncccc1-c1cc2nc(NCCNC(C)=O)n(C)c(=O)c2s1,737,61,13.794243907999942,8.363253165959566,4.0,2.0,80,11597
CC(C(=O)Nc1ccc2c(c1)OCO2)N(c1ccc(Cl)cc1)S(C)(=O)=O,25,5,7.899890846223718,5.101032093366708,4.0,1.0,9,504
N#Cc1ccc(-c2cc(C(=O)O)c3cnn(Cc4ccncc4)c3n2)cc1,18,5,3.326905030365246,3.091977459349219,4.0,1.0,9,465
Cc1noc(NC(=O)NC23CC4CC(CC(C4)C2)C3)c1C#N,31,4,9.142669721747374,6.811286203919579,3.0,2.0,11,317
