smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
Cc1ccc2cc(O)c(=O)[nH]c2c1,87,24,8.659901008119185,6.193113435287213,2.0,1.0,40,2279
C=CCC1(C(C)C(OC(C)=O)c2ccc(OC)c(OC)c2)C=C(OC)C(OC)=CC1=O,7613,inf,inf,13.694066016565124,inf,2.0,1000,113540
CCOCCCNC(=O)CN=C(S)N(Cc1ccccc1F)C1CCCCC1,9999,inf,inf,16.16612612798201,inf,3.0,540,83011
C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,9999,inf,inf,10.83983677263342,inf,2.0,582,136631
COCC(C)Oc1cc(=NC(=O)N2CCCc3cc(CN4CCN(C)CC4=O)c(C=O)nc32)[nH]cc1C#N,5232,inf,inf,8.82168630565358,inf,2.0,1000,98844
Cc1sc2nc(CCN)nc(N3CCC(N4CCCC4)CC3)c2c1C,53,19,10.824880910522221,5.195628202629038,5.0,1.0,27,1094
Cc1c(NC2CC2)nc(C2CC2)nc1N1CCC(Cc2ccccc2)CC1,342,68,13.785697981436979,9.014958300309445,4.0,2.0,70,4706
N#Cc1ccc(-c2cccc(NC(=O)C3CCCN3C(=O)Nc3cn(C(N)=O)c4ccccc34)c2)cc1,321,46,9.501484855474061,7.7436172113065975,8.0,2.0,46,3916
O=P1(O)c2ccccc2CCc2ccccc21,3334,inf,inf,9.264987716577874,inf,2.0,1000,153187
CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)NC(C)(Cc1ccccc1)C(=O)NCCCCc1ccccc1,2350,61,11.77176520382188,8.746517882413704,7.0,1.0,61,7642
Cc1c(Cn2c(C3CC3)nc(=O)c3sc(N4CCOCC4)nc32)cccc1C(F)(F)F,71,27,8.994908334228887,7.2412812984840205,6.0,1.0,27,726
COC(=CC=Cc1cc2cc(Cl)c(Cl)cc2[nH]1)C(=O)NC1CC(C)N(C)C(C)C1,9999,inf,inf,15.514362947188332,inf,3.0,128,7607
CC(C)c1ccc(NC(=O)COc2ccc3cc(C(O)(C(F)(F)F)C(F)(F)F)c(O)cc3c2)cc1,131,25,11.010083637650386,9.044447584230804,6.0,1.0,26,4882
CN1CCN(C(=O)N2CCC(c3ccccc3)(c3nccn3Cc3ccccc3)CC2)CC1,96,10,10.047815352218187,5.7054538810066395,5.0,1.0,23,1630
Cc1cccc(NS(=O)(=O)c2ccc(C(=O)N(C)Cc3ccccc3)cc2)c1,5,3,1.5490343719464583,1.3755304427801827,3.0,1.0,3,166
c1csc(-n2cc(-c3ccnc4ccccc34)cn2)c1,5,2,4.782816729123448,3.958895668835492,2.0,1.0,3,77
Nc1nc2ccc(O)nc2n1-c1ccccc1,11,6,2.530718418560004,2.3049222318699845,4.0,1.0,6,378
c1ccc2c(-c3cnco3)c[nH]c2c1,1,1,1.3984809341674531,1.3984809341674531,1.0,1.0,1,73
CN1CCC(NC(=O)c2c(NC(=O)c3nc(C4CC4)cnc3Nc3cncnc3)cnn2C)CC1,147,33,7.194881465697682,6.069707735776891,10.0,1.0,33,1511
CN(Cc1ccc(Cl)cc1)C(=O)C1CCCN1C(=O)Nc1ccc(F)cc1,7,4,4.799579810603608,4.360687224713047,4.0,1.0,4,138
CNC(=O)c1cc2c(C#Cc3ccccc3F)nc(C)cn2c1,1168,87,13.846469150625614,9.805446503552705,9.0,2.0,87,14718
CC(=O)C(N=Nc1ccccc1)(Sc1nnc(-c2ccccc2)n1-c1ccccc1)C(C)=O,8251,inf,inf,17.103635638644946,inf,4.0,1000,95179
CC(C)CC1COc2cccc(F)c2S(=O)(=O)N1,25,8,11.313904025670505,8.731227760936518,3.0,2.0,13,357
