smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
CC(C)(C)c1ccc(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2nncs2)cc1,37,7,7.976577831864509,5.6796257469213804,5.0,1.0,9,195
COc1cc(CN2CC(CO)OC(n3cnc4c(N5CCCC5)ncnc43)C2)cc(OC)c1OC,6192,inf,inf,14.63220766130096,inf,2.0,1000,91775
CCCNc1c(C(=O)c2ccccc2)c(C)nn1-c1ccccc1,77,12,9.69843186438387,6.136465583972295,3.0,2.0,29,2103
C=CCN1C(=O)C2CCC=CC2C1c1cccc(C)c1,4712,inf,inf,16.839621720759265,inf,3.0,1000,71889
CCCC(=O)N(Cc1ccc(C(=O)O)cc1OC)c1ccc(C(C)=O)c(O)c1,258,57,9.236860283359324,7.93801142132998,4.0,1.0,79,5454
O=C(Cn1cc(C2CC2)nn1)NC(c1ccc(Cl)cc1)C1CC1,32,4,5.50104599015723,4.057987299424805,4.0,1.0,7,264
COC1CCN(c2nc(-c3c(C)ccc4n[nH]c(C)c34)nc3c2CN(c2c(Cl)c(C(F)F)nn2C)CC3)CC1(C)C,9999,inf,inf,17.50664324293834,inf,2.0,405,32595
O=C1NCC2(CCNCC2)c2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)n3)cc21,1328,131,16.631334958131113,11.671381736597013,6.0,2.0,265,15271
CC(=O)NC(Cc1ccc(F)cc1)C(O)CNC1CC2(CCC2C)Oc2ncc(CC(C)(C)C)cc21,9999,inf,inf,13.569486482716307,inf,2.0,512,72483
CN(C)c1ccc(C=Cc2cc[n+](Cc3ccc(F)cc3)cc2)cc1,9999,inf,inf,11.77127330419026,inf,2.0,912,162073
OCC1C(O)C(O)C2CSC(=NCc3ccccc3)N12,9569,inf,inf,7.323345176766416,inf,2.0,1000,136871
Cc1cc(C=C2SC(=S)NC2=O)c(C)[nH]1,17,4,8.713194382503216,4.804255118123852,3.0,1.0,7,323
COc1ccc(CC(=O)c2ccc(O)c(O)c2O)cc1,95,3,8.101366604530295,6.0243239974890015,2.0,1.0,10,1576
Cc1cc(C)c(-c2[nH]nc(C#N)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,9999,inf,inf,12.377378191696142,inf,2.0,217,25522
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCC(=O)OC,8406,inf,inf,10.516457206878407,inf,2.0,1000,507788
Cc1cccc(OCCN2CC3(CCC4(C)C(CCC5C6CCC(=O)C6(C)CCC54)C3)OC2=O)c1,9999,inf,inf,12.662265237252772,inf,2.0,782,200292
COc1cccc(N2CCN(CCC(=O)Nc3ccccc3N)CC2)n1,31,7,4.2498984836915925,3.798763292657325,3.0,1.0,8,617
Cc1ccc2oc(=O)n(CC(=O)OC(C)C)c2c1,3,2,3.225223592982061,3.225223592982061,2.0,1.0,2,74
O=C(O)CCCCCON=C(c1cncnc1)c1cccc(C(F)(F)F)c1,21,6,9.23194708325098,5.690852728030599,4.0,1.0,8,281
Cc1ccc(C)c(NC(S)=NC(NC(=O)N(C)C)C(Cl)(Cl)Cl)c1,9999,inf,inf,17.931805183103563,inf,3.0,950,82938
COc1ccc(C(=O)NC(=Cc2cccs2)c2nc3ccccc3[nH]2)cc1OC,2882,133,14.91689759039415,13.954730969696584,6.0,3.0,133,10792
CC12CCC(O)CC1CCC1C2CCC2(C)C(C34C=CC(=O)OC3O4)CC3OC312,5277,inf,inf,12.307400644165712,inf,2.0,1000,98408
C=C1C(=O)OC2C1CC(O)C(=C)C1CC(OC3OC(CO)C(O)C(O)C3O)C(=C)C12,8965,inf,inf,5.6574266356818015,inf,1.0,1000,296137
CC(C)OCCNC(=O)c1ccc(NC(=O)N2Cc3ccccc3C2)cc1,228,13,7.876272425254111,5.8567406541716025,6.0,1.0,15,997
COc1ccc(C2C3CSCN3C3(C(=O)Nc4ccc([N+](=O)[O-])cc43)C23C(=O)c2ccccc2C3=O)cc1OC,4060,inf,inf,14.548740587654235,inf,3.0,1000,67991
COc1ccc(NC(=O)CN2C3CCCC2CC(NC(=O)c2cc(OC)c(OC)c(OC)c2)C3)cc1,297,41,7.216873119468751,6.607669108682791,5.0,1.0,53,4713
COc1cc(CCN2CCCCC2)c(OC)cc1Br,46,2,5.584246582230796,3.4206557523051573,2.0,1.0,19,1622
Cc1cc(C(=O)N2CCCC3(COCCN(c4ccccc4)C3)C2)[nH]n1,7395,inf,inf,10.287544932915765,inf,2.0,1000,149134
Cc1nnc(SC2CC(N)(C(=O)O)C3C(C(=O)O)C23)[nH]1,9999,inf,inf,13.221085181624705,inf,2.0,991,139986
CC(Cl)=CCn1c(NCCc2ccccc2)nc2c1c(=O)n(C)c(=O)n2C,522,92,16.761602247449815,11.965874100643259,5.0,2.0,93,4645
Brc1ccc2[nH]c(-c3cc4ccccc4[nH]3)cc2c1,4,2,3.2829067051402814,0.7243898827233496,2.0,1.0,2,193
Cc1c[nH]c(=O)nc1SCC(=O)Nc1cc(C(F)(F)F)ccc1Cl,91,19,9.380009161836622,8.251598223615145,7.0,2.0,19,1076
O=C(O)c1ccc(C=C2C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)cc1,7,4,2.4037591125582507,2.3029025232019515,2.0,1.0,4,173
COc1cccc2c1CCC(N1CCCC1)C2N(C)C(=O)Cc1csc2ccccc12,9999,inf,inf,12.288955355729293,inf,2.0,361,39546
CSc1ccc(S(=O)(=O)Nc2ccc(NC(C)=O)cc2)cc1,9,3,1.889228738528706,1.889228738528706,3.0,1.0,4,218
CC(C)(c1ccccc1)c1cc(NC(=O)Nc2ccccc2)n(-c2ccccc2)n1,25,7,5.743885304635515,3.6706525693355743,5.0,1.0,7,637
OC1=C2CN(C3CCCCC3)CN=C2CC(c2ccccc2)C1,3885,inf,inf,17.170647283793304,inf,3.0,1000,39034
N=c1[nH]ccn2c(C3CCC4CCC(=O)N4C3)nc(-c3ccc(C(O)=Nc4cc(C(F)(F)F)ccn4)cc3OCc3ccccc3)c12,9731,inf,inf,18.972678244225218,inf,3.0,1000,64360
CCCOc1ccc(-c2cn(-c3ccc(C(=O)O)c(O)c3)cc2C#N)cc1,892,141,8.650703957854033,7.653629689178322,7.0,1.0,141,24860
COc1cc(Br)c(Nc2nc(C)nc(-c3ccccc3C(F)(F)F)c2N)c(OC)c1,294,29,9.09801192548142,6.991155340507084,6.0,1.0,44,3911
CCN1CC(C)(C)n2c(c(O)c3c(=O)n(Cc4ccc(F)cc4)ncc32)C1=O,7406,inf,inf,12.045014975050398,inf,3.0,1000,98623
OCC(CO)OCn1c(S)nc2c(Cl)c(Cl)ccc21,8526,inf,inf,11.355078032419366,inf,2.0,1000,162221
CCN(Cc1ccccc1)C(=O)c1cc(-c2ccc(OC)c(OC)c2)nc2ccccc12,3,2,2.32231945644739,1.5383829702215697,2.0,1.0,2,135
COc1cccc(C(c2sc3nc(-c4ccco4)nn3c2O)N2CCC(C)CC2)c1,3725,inf,inf,11.765244136579572,inf,2.0,1000,58224
O=C1OCCN1S(=O)(=O)Nc1ccc([N+](=O)[O-])cc1,3,1,3.0254796752247786,2.7052338874645603,1.0,1.0,2,38
NC(=O)c1cc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)C(Cc3ccccc3)C(O)C(O)C2Cc2ccccc2)ccc1F,6532,inf,inf,11.524489969377047,inf,2.0,1000,147385
O=C(Oc1cccc2cccnc12)c1ccc(S(=O)(=O)c2ccc(Cl)cc2)cc1,22,3,5.594208889688616,3.7542039353830026,3.0,1.0,5,447
COc1ccc(CNC(=O)CN(Cc2ccc(Cl)cc2)S(C)(=O)=O)cc1,7,4,1.861802101461161,1.861802101461161,4.0,1.0,4,131
COC(=O)CCC(=O)Nc1cc(OC)c(OC)cc1Cc1nccc2cc(OC)c(OC)cc12,271,96,7.981917086409359,7.336445680939666,7.0,2.0,96,7941
Cc1cccc(COc2ccc(C(NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)c3ccccc3)C(N)=O)cc2)c1,9999,inf,inf,7.213005213357446,inf,1.0,882,191679
COc1cccc(OC)c1C(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2cc(Cl)ccc21,590,108,15.866771545549714,10.376738979085076,6.0,2.0,129,12189
COc1ccc(C=CC(=O)C=Cc2ccc(OC)c(OC)c2)cc1OC,3,2,1.5304598277691648,1.5304598277691648,2.0,1.0,2,84
CC1CC=CCCC=CC(=O)Cc2cccc(O)c2C(=O)O1,5970,inf,inf,13.04778221463976,inf,2.0,1000,93509
Cn1cnc(S(=O)(=O)NCCOc2ccc3c(c2)C(Cc2cccc(Cl)c2)C(N2CCCC2)CC3)c1,9999,inf,inf,14.532830122503581,inf,2.0,403,53185
Fc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1Nc1ccc(N2CCOCC2)cc1,3,2,0.4821630584227985,0.4821630584227985,2.0,1.0,2,108
COc1ccc(-c2ccc3c(c2)Cc2sc(N)nc2-3)c(OC)c1,11,2,1.8290857071576663,1.7707767998431065,2.0,1.0,5,349
NCC(N=C(O)c1ccc(-c2nc(C3CCOCC3)cnc2N)cc1F)c1cc(F)cc(Cl)c1,8834,inf,inf,12.961627148810809,inf,2.0,1000,114897
NCCN=C(S)Nc1c(Br)cccc1Br,9999,inf,inf,14.136318784118071,inf,2.0,550,148107
COc1ccc(NC(=S)N2CCOC(C3=CCCN(C)C3)C2)cc1,9999,inf,inf,14.545722876003023,inf,3.0,745,185489
CC(C)C(N)C(=O)NCc1ccc(-c2ccccc2)cc1,362,11,9.397926985886022,6.562970304181216,3.0,1.0,31,3272
CCc1nnc(NC(=O)CN2CCN(Cc3ccccc3Cl)CC2)s1,9,3,7.796737044466226,5.382675448235028,3.0,1.0,4,158
NCC1(N2CCOCC2)C2CCCC21CO,6135,inf,inf,10.708326595528828,inf,2.0,1000,143184
COCC1CN(C(=O)C2CCCO2)Cc2nnn(CC3CC3)c21,9992,inf,inf,14.22873832996048,inf,2.0,1000,186020
CCCNc1c(C#N)c(N)cc2c1Cc1cc(O)c(O)cc1O2,8648,inf,inf,8.569717948221571,inf,2.0,1000,309795
N#CCC1(n2cc(C(=N)O)c(=Nc3ccccc3)[nH]2)CCN(Cc2ccc(C#N)cc2)CC1,5532,inf,inf,15.864355426604593,inf,3.0,1000,94666
CN(C)c1nc(Cl)nc(NCCOc2ccccc2)n1,11,3,3.9818661565324533,2.370157233925072,3.0,1.0,5,255
CC(=O)N1N=C(c2cccc(Cl)c2)OC1c1ccc(C(C)C)cc1,5810,inf,inf,16.188628383448886,inf,3.0,1000,84754
CCOc1ccc(NS(=O)(=O)c2ccc(C)cc2)c2c(Br)n[nH]c12,27,13,5.926887091451612,4.529294808239529,6.0,1.0,13,638
COc1ccc(C2=Nn3c([n+](C)c4cc(C)c(C)cc43)SC2)cc1OC,5332,inf,inf,15.599311636283872,inf,3.0,1000,73924
C[S+](C)Cc1ccc2cc1C(=O)NCC(=O)NC(CCCCN)C(=O)N2,7613,inf,inf,11.36927421551539,inf,2.0,1000,113560
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1OCC(C)=O,9999,inf,inf,11.247732891399696,inf,2.0,602,108841
O=C(NCCOc1ccccc1)N1C2C=C(c3ccc(F)cc3OCc3ccccc3)CC1CC2,2224,233,14.263754953462449,10.373995501400842,5.0,2.0,233,49191
N#Cc1ccc(-c2nc3cc4cccnc4c(Cl)c3[nH]2)cc1,48,11,12.034578441969682,7.278622132912235,4.0,1.0,19,1372
Clc1cc(Nc2ncnc3ccc(NC4=NCC(COc5ccccc5)O4)cc23)ccc1OCc1nccs1,9999,inf,inf,13.463930554812247,inf,2.0,182,32914
N=c1ccn(Cc2ccc([N+](=O)[O-])cc2)cc1,9999,inf,inf,16.64346609971102,inf,3.0,806,144090
CC(C)C1CCC2C(CCC3C(C)(C(=O)O)CCCC23C)C1,3817,inf,inf,9.26886354374357,inf,2.0,1000,85254
