smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
COc1cc(-c2nc(C)c(C(C)=O)n2O)ccc1OCC(=O)Nc1ccc(Cl)cc1,9999,inf,inf,10.295776046961224,inf,2.0,322,144408
CN(C)C(C)(c1nc(O)c(O)c(C(=O)NCc2ccc(F)cc2)n1)C(F)(F)F,1015,142,14.353059088070424,10.157169581210518,6.0,2.0,149,15240
CC1COCCN1c1nc(-c2cnc(=N)[nH]c2)c2c(n1)N(C1(C)CCN(C(=O)C(N)C(F)(F)F)C1)CC2,9999,inf,inf,13.001142624970399,inf,2.0,245,27324
CC(C)(NS(=O)(=O)c1ccc(NC2CC3CCC2C3)cc1C(F)(F)F)C1CC1,9999,inf,inf,13.978862506855874,inf,3.0,70,6708
NC(CC=CP(=O)(O)O)C(=O)O,9073,inf,inf,12.61455954973704,inf,2.0,1000,117953
Cc1ccc(Nc2c(-c3ccc(N4CCOCC4)cc3)nc3ncccn23)cc1C,172,14,8.246735024191796,7.557352554352358,4.0,1.0,29,2122
Cc1cccc(-c2nc(C(F)(F)F)ccc2CNC(=O)C(C)c2ccc(CNS(N)(=O)=O)cc2)c1,204,18,11.58255599522283,8.846348836793236,5.0,1.0,28,1570
C=Cc1ccc(Cn2c(=O)n(CCCOC)c(=O)c3sccc32)cc1,1228,144,11.826735948049127,8.851904996411978,4.0,2.0,221,21924
CCN(CC)c1nc(NCCN=C(NC)NC#N)c2ccccc2n1,34,8,5.14381385640017,3.518534906023269,4.0,1.0,10,575
COc1ccc(-n2c(SCC#N)nc3c(sc(=S)n3-c3ccccc3)c2=O)c(OC)c1,9999,inf,inf,12.639077728095371,inf,3.0,943,114552
CC1C(c2ccccc2)C1(NS(=O)(=O)N1CCn2c(nc3cc(C#N)ccc32)C1)C(=O)O,6556,inf,inf,11.368064495809957,inf,2.0,1000,121318
CCCc1c2nc(C(=O)O)cc(S(=O)Oc3ccccc3)c2cc2c(=O)cc(C(=O)O)oc12,9999,inf,inf,12.345321860774545,inf,2.0,810,116830
CCOc1cc(O)c(-c2nc(N)ncc2-c2ccc3c(c2)OCCO3)cc1CC,7839,inf,inf,9.191436888747091,inf,2.0,1000,241433
O=C1CCCC2=C1C(c1cc(Cl)c(Cl)cc1CO)C1=C(CCS1(=O)=O)N2,9999,inf,inf,16.182430676544037,inf,2.0,334,70729
Cc1ccc(Cn2c(C(=O)O)c(CNCc3cccs3)c3ccc(C)cc32)cc1,135,17,8.995417856753539,5.72230404496108,5.0,1.0,39,2194
CCN(CC)CCn1[nH]c2c3cccc(OC)c3nc3c([N+](=O)[O-])ccc1c32,9999,inf,inf,10.61106024887161,inf,2.0,540,182639
COc1cccc(C=Cc2cn(C=Cc3ccc(O)cc3)nn2)c1,9999,inf,inf,12.010696754445306,inf,2.0,567,120659
FC(F)Oc1cccc(NC(=S)N2CCN(c3ccccn3)CC2)c1,16,5,5.956173303128628,5.946126685779285,4.0,1.0,6,300
CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc3c(c2)OCO3)cc1,21,4,5.074724208988016,4.565260492254663,3.0,1.0,9,493
O=C1C=CC(O)C2C3CCC[N+]4([O-])CCCC(CN12)C34,5026,inf,inf,11.216703569688992,inf,2.0,1000,98312
CCn1ccnc1CN1CCN(CCOc2cccc(C#N)c2)CC1,41,13,4.833683601054759,3.754255413436227,3.0,1.0,14,1476
CC(C)(C)OC(=O)N1CCC(CNS(=O)(=O)c2cccc(S(=O)(=O)Nc3ccc(N4CCOCC4)cc3)c2)CC1,5,3,2.193635244866379,1.163899151877564,3.0,1.0,3,170
Cc1c(-c2ccccc2)[nH]n(-c2nc3ccccc3[nH]2)c1=O,2202,690,12.814718144968541,12.07553691783524,5.0,2.0,690,40873
Nc1nnc(-c2csc(-c3ccccc3)n2)o1,17,9,4.38255258384476,3.8144845487615124,3.0,1.0,9,293
COc1cc2ncc(C#N)c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c2cc1OC,9,3,2.511440469033505,2.0262969988097823,3.0,1.0,5,369
OC1CCN(CC(c2ccccc2)c2ccccc2)CC1C1(O)CCN(CC(c2ccccc2)c2ccccc2)CC1,6836,inf,inf,6.1940593983446215,inf,2.0,1000,220268
