smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
Cc1cc[n+](C2=Nc3ccccc3[N-]C2=C(C#N)C#N)cc1,5923,inf,inf,15.434567677248003,inf,3.0,1000,103192
COc1cc(C=C2CC3C4CC=C5CC(N6CCCC6)CCC5(C)C4CCC3(C)C2OC(C)=O)cc(OC)c1OC,5341,inf,inf,9.496291937692177,inf,2.0,1000,133770
CCc1ccc(OCC2c3cc(OC)c(OC)cc3CCN2C(=O)COc2ccccc2)cc1,498,33,10.388196077677964,7.685551045859183,4.0,2.0,88,10833
NCCCNS(=O)(=O)c1cccc2cnccc12,1,1,0.6920607014807378,0.6920607014807378,1.0,1.0,1,68
Cc1cc(C#N)cc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,61,7,4.015187898467148,3.50059749761318,6.0,1.0,11,1420
O=C1C2=CCCC1(O)C#CC=CC#CC2O,5993,inf,inf,14.158985596538585,inf,2.0,1000,85713
c1ccc(Cn2cnc3c(-n4cncn4)ncnc32)cc1,11,2,4.435478271165352,3.965423355328109,2.0,1.0,6,301
O=C(CSc1nc2ccccc2nc1Cc1ccc(Cl)cc1)N1CCN(c2ccccc2F)CC1,433,115,13.151756654869128,9.334356647781497,5.0,2.0,115,8140
CCOc1cc(C(=O)Nc2nn[nH]n2)nc(-c2ccccc2)c1,1387,82,15.947840487554542,10.115984225919679,7.0,2.0,98,26649
CC(=O)Nc1nsnc1NCc1ccc(-c2cc(Cl)cc(F)c2-c2noc(C)n2)cc1F,5945,122,14.335287621302017,10.64767015646185,5.0,2.0,138,42640
CCOC(=O)c1sc(=NC(=O)c2cccc(OC)c2)n(C)c1C,947,123,19.021137560354596,12.909467877162582,4.0,2.0,148,11929
COc1cc(C(=O)NCC(c2ccccc2)N(C)C)ccc1OCc1c(C)noc1C,57,8,6.193693630981031,5.184000441710182,6.0,1.0,10,429
COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NS(=O)(=O)c3ccc(C)cc3)cc1)CC2,61,17,4.263915315496442,4.263915315496442,5.0,1.0,17,1180
