smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
O=C1CC(=O)[N+](c2ccccc2)=C2SC=CN12,9999,inf,inf,14.524645733433228,inf,3.0,972,184829
CC(C)(O)C#Cc1cc2c(cc1F)OCCn1c-2nc(C(N)=O)c1C#N,9999,inf,inf,10.551104332478795,inf,2.0,902,191097
COc1ccc(C(CNC(=O)c2cccnc2SC)N2CCOCC2)cc1,17,4,3.7575120448712536,3.670367797623382,4.0,1.0,5,215
O=C1N=C(Nc2ccc(Cl)cc2)NC1=Cc1ccc(Cl)cc1,9999,inf,inf,23.344358792579843,inf,4.0,541,80315
CCCC(NC(=O)C1CCCN1C(=O)C(NC(=O)OCC(C)C)C(C)C)C(=O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)O,9999,inf,inf,10.425111318938372,inf,2.0,381,69397
CC(C)(CCCCCCCCCCC(C)(C)CC(=O)O)CC(=O)O,6379,inf,inf,10.472617183505825,inf,2.0,1000,203369
CC1=CCCC2(C)OC2C2OC(=O)C(CN(C)CCN(C)C)C2CC1O,9999,inf,inf,8.551349902141247,inf,2.0,931,178993
Cc1ccc(C(=O)NCC(N)=O)cc1-n1cnc(OCc2ccc(F)cc2F)c(Cl)c1=O,8087,224,16.613966980430497,8.476319085211966,8.0,2.0,224,75841
COc1cc(F)cc(-n2nc(NC(=O)C3CNC(=O)C3)cc2-c2cccc(OC(F)(F)F)c2)c1,3584,69,15.240182568117914,10.70480662633737,5.0,2.0,100,9257
CC1(C(=O)NCC2CCCCC2)CCN1C(=O)Cc1ccc(-c2ccccc2)cc1,212,4,8.183104173664706,5.582107351102294,3.0,1.0,39,5219
COc1ccc(-c2cccc(F)c2)cc1C1CC1CN,497,85,6.439387856956813,5.515619189561056,8.0,1.0,85,14078
N#CC(=Cc1ccc(O)c(O)c1)S(=O)(=O)c1ccccc1,1,1,0.6175428044520581,0.6175428044520581,1.0,1.0,1,55
Cn1c(=O)cc(Nc2ccccc2)[nH]c1=O,3,1,4.2593288688946584,3.0909046643635154,1.0,1.0,2,94
O=C(COc1ccc([N+](=O)[O-])cc1Cl)NCC1CCCO1,31,3,4.080171181373468,2.9456542198983167,3.0,1.0,6,405
O=C(Nc1ccc(C(O)CO)cc1F)c1cc2cc(Cl)ccc2[nH]1,57,9,6.278318967980354,4.359671413233671,3.0,1.0,27,1335
Cn1ccnc1SCCOc1ccc(C(=O)O)cc1,42,8,6.758959162289563,5.016440712249518,3.0,1.0,11,779
O=C1CSC(NN=Cc2ccc(OS(=O)(=O)c3ccccc3)cc2)=N1,9999,inf,inf,26.734570826103813,inf,5.0,312,61987
Cc1ccc(C(=O)NCC2Cc3ccccc3O2)cc1S(C)(=O)=O,237,4,7.1498029485971735,5.581362926957499,4.0,1.0,18,1783
O=C(C=Cc1c[nH]c2ccccc12)c1c[nH]c2ccccc12,1,1,1.6373890852720265,1.6373890852720265,1.0,1.0,1,42
CC1CNCC(O)C(O)C1O,3657,inf,inf,8.831768117668341,inf,2.0,1000,99517
Cc1nn(C)c2nc(NCCN3CCCC(C(N)=O)C3)sc12,9999,336,19.328820096171572,10.085804769365446,7.0,2.0,547,118071
Cc1ccccc1CN=C(S)N1CCC(c2c[nH]cn2)CC1,9999,inf,inf,14.101520737655289,inf,3.0,966,102309
Cc1ccc(S(=O)(=O)c2nnn3c2nc(N2CCOCC2)c2ccccc23)c(C)c1,9999,inf,inf,12.701711324667276,inf,3.0,788,181268
Cc1ccc(NC(=O)CSCC(=O)Nc2ccc(N3CCOCC3)c(Cl)c2)cc1,144,18,9.060989953342435,6.295734546065971,4.0,1.0,20,2167
O=C1C(Sc2ncn[nH]2)=CC(=NS(=O)(=O)c2cccs2)c2ccccc21,6394,inf,inf,18.05313132527455,inf,3.0,1000,71241
CN1CCc2nc(NC(=O)c3cccc(CNC(=O)c4csc(-c5ccncc5)n4)c3)sc2C1,98,16,7.670642601234019,4.867526866080122,6.0,1.0,22,1510
COc1ccccc1-c1cc(C(=O)N2CCc3ccccc3C2)no1,9,3,3.0668197018521974,2.0117461907876475,3.0,1.0,5,303
CCCCCCCCCCCCCCCC(=O)OC1C(O)C(CO)OC(OC)C1NC(=O)N(CCCl)N=O,5590,inf,inf,14.967958790228941,inf,2.0,1000,218492
Cc1ccccc1CS(=O)(=O)c1sc(N=C(O)c2ccccn2)nc1C,11,inf,inf,inf,inf,inf,6,13
CCCCC(NC(=O)C1C2C(CN1C(=O)C(NC(=O)NC(CN1C(=O)CC(C)(C)CC1=O)C(C)(C)C)C(C)(C)C)C2(C)C)C(=O)C(=O)NCCC,9999,inf,inf,11.068191786130495,inf,2.0,717,111642
O=C(Nc1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1)N1CCSCC1,288,47,10.171868172470564,8.362412227708564,5.0,2.0,47,6785
CC(C)Oc1cc2c(-c3cc(N4CCOC(C(F)(F)F)C4)ncn3)n[nH]c2cc1F,9999,inf,inf,11.833615389226082,inf,2.0,222,30727
CCOc1ccccc1NC(=O)C(CN(C)CC)N(C)CC,145,45,8.594314514864985,6.832653699958266,5.0,2.0,45,4001
CCN(CC)CCNCCNc1ccnc2cc(Cl)ccc12,9,2,1.5887436177449352,0.35734114347150525,2.0,1.0,3,308
O=S(=O)(NCc1ccncc1)c1ccc(F)c(F)c1,1,1,0.48412241655654215,0.48412241655654215,1.0,1.0,1,13
CCN(CC)CCCNc1nccc(OCc2ccc(Cl)cc2Cl)n1,7,4,3.4571526026837973,2.656016838415793,3.0,1.0,4,194
c1ccc(Nc2ncnc3cc4c(cc23)OCO4)cc1,69,17,7.674058236768953,5.3638578041135,6.0,1.0,19,1573
CC(C)c1ccc(NC(=O)c2cccnc2N)c(N2CCN(c3cnccn3)CC2)c1,69,9,7.176682843653908,5.05224753454652,5.0,1.0,16,1341
CC(C(=O)NCc1ccc(Cl)cc1)n1cccc1C(=O)c1ccccc1,15,7,4.591022971904765,3.6645080186315546,4.0,1.0,7,370
CCOC(=O)C12CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C1=C(C(C)C)C(=O)C2,7512,inf,inf,12.027872979510464,inf,2.0,1000,132062
N#Cc1ccc(NCCNc2nc(-c3ccc(Cl)cc3Cl)cn3nc(C(=O)O)cc23)nc1,5527,482,15.809407749365896,11.8799626291466,7.0,2.0,482,67333
CS(=O)(=O)Nn1c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccnc3)cc2c1=O,32,14,7.603210727388106,6.591637462248606,5.0,1.0,14,451
Cc1ccc(F)cc1NC(=O)C1CCCN(c2ncccn2)C1,23,5,4.941718067643322,4.892370902890711,4.0,1.0,10,516
CN(C)C(=Nc1ccc2c(c1)C(=O)c1ccc(N=C(C3CC3)N(C)C)cc1C2=O)C1CC1,655,59,18.772455254695725,13.511983362745607,7.0,3.0,78,5414
NCC(=O)N1CC(N)CC1C(=O)NC(CCc1ccccc1)C(=O)Nc1ccc2ncccc2c1,9999,296,19.884765008238542,10.873528604131794,8.0,2.0,643,80698
NS(=O)(=O)c1cccc(OCC(=O)NCC(O)CN2CCc3ccccc3C2)c1,36,5,3.8428774253163946,3.5678033051664038,4.0,1.0,7,680
Cc1cc2cc(CNC(=O)c3ccc4c(c3)OCO4)ccc2n1C,169,8,9.708009510096174,7.000351062923423,5.0,1.0,13,1380
CC(C)OC(=O)N1CCC(c2cc3cc(-c4ccc(S(C)(=O)=O)cc4F)ncc3o2)CC1,46,6,6.978156051459418,5.058902136267554,3.0,1.0,14,867
O=C(COC(=O)C=Cc1ccccc1Cl)NC1CCCCCC1,5,2,3.5683612071506916,2.842525444873469,2.0,1.0,3,70
CC1CC(C)CN(C(=O)COC(=O)Cc2c[nH]c3ccccc23)C1,8,2,3.43789512229797,3.43789512229797,2.0,1.0,4,213
O=C(c1ccc(N2CC(F)(F)C2)c(OCC2CC2)n1)N1CC(F)(CO)C1,2986,119,14.263063513172971,10.307107358606894,5.0,2.0,119,8490
CC1(C)OC(c2ccccc2)(c2ccccc2)C(=O)N(c2ccccc2)C1=O,3689,inf,inf,10.733250973642985,inf,2.0,1000,133561
COc1ccc(-c2cc(C)nc(NCC3CCC(C(=O)O)CC3)n2)cc1,218,6,9.009730016971218,5.926153902018834,3.0,1.0,31,3124
COc1cncc(-c2ccc3nnc(-c4cccc(OC(F)(F)F)c4)n3c2)c1,13,6,2.395025228532091,2.169972093097237,4.0,1.0,6,304
CCN(C(=O)N1CCN(c2ccccc2C)CC1)c1ccc(OC)cc1,11,4,4.559697057280056,3.590411063016288,3.0,1.0,4,334
Cn1cnc(CC2COC(=O)C2C(O)c2ccccc2)c1,6074,inf,inf,16.740054441822053,inf,3.0,1000,68495
Cc1c(NCc2ccc(Cl)c(Cl)c2)[n+]([O-])c2cc(F)c(F)cc2[n+]1[O-],85,16,5.883359053354383,4.86852007365683,6.0,1.0,16,1415
O=C(C1CCCO1)N1CCc2ncnc(NC3CCC3)c2CC1,9,5,5.501528436139139,5.053156893136057,5.0,1.0,5,208
COc1ccc(CCN2CCC(NC(=O)C34CC5CC(CC(C5)C3)C4)C2)cc1,9999,229,16.330342311538782,4.935754507080752,6.0,1.0,726,158470
CCOC(=O)c1cc(-c2csc(-c3ccncc3)n2)c(=O)[nH]c1C(C)C,170,17,12.206872382010959,8.590690993690487,6.0,1.0,28,2146
CN(C)S(=O)(=O)n1ncc2c3c(N)nc(N)nc3ccc21,759,215,12.066059619378198,10.96500413149018,4.0,2.0,215,8137
CC(C)c1nc(N2CCCC2)c(C#N)c2c1CCCC2,21,11,5.652427884800204,5.021226828176473,5.0,1.0,11,427
Cc1ccc(CCNC(=O)C[S+](O)Cc2nc(-c3ccccc3Cl)oc2C)cc1,9999,inf,inf,11.30003350581429,inf,2.0,187,19966
COC1CCC(CC(=O)NC2CCC(CCN3CCN(c4nccc5sccc45)CC3)CC2)C1,9999,inf,inf,10.932706516382966,inf,2.0,96,10704
CCOC(=O)c1c(C)sc(-c2c(-c3ccc4c(c3)OCCO4)[nH]c3c2c(=O)n(C)c(=O)n3C)c1O,9667,inf,inf,13.66813498006007,inf,2.0,1000,134435
NC(=O)c1ccccc1N1CC=C(c2ccc([N+](=O)[O-])cc2)NC1=O,7563,447,20.33671813754551,13.487517529218689,4.0,2.0,584,161726
Cc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(-c3ccc(-c4ccccc4F)c(F)c3)cc12,1206,42,8.641057028779185,5.330732658037678,5.0,1.0,75,20782
C1CCN(C2CCNCC2)CC1,0,0,0.0,0.0,0.0,0.0,0,1
CCOc1ccc(CCNC(=O)c2cnc(C)cn2)cc1OCC,98,6,8.391373972033854,5.842687777075975,6.0,1.0,15,1037
CN(C)CCOc1ccccc1C=C(C#N)c1noc2ccccc12,20,9,6.283632907154644,4.8642831045490915,5.0,1.0,9,441
Cc1ccc2nc(N3C(=O)C(O)=C(C(=O)c4ccco4)C3c3ccc(O)cc3)sc2c1,9,4,2.94775254011972,1.437290002843517,4.0,1.0,4,157
NC(=O)CC(NC(=O)c1ccc(Br)cc1)c1ccc(N2CCC(Cc3ccccc3)CC2)c([N+](=O)[O-])c1,43,16,5.614721843921808,4.923754237493283,5.0,1.0,16,1326
CCOC(=O)C1CCN(c2ncnc3cc(OC)c(OC)cc23)CC1,1,1,0.39674827151726966,0.39674827151726966,1.0,1.0,1,37
CC(=O)C1=C(C)OC(N)=C(C#N)C1c1cc([N+](=O)[O-])ccc1Cl,7,2,7.011228439438723,5.246226916148269,2.0,1.0,4,92
CCC=CC(CC)CC1(CC)C=C(CC)C(=O)O1,6184,inf,inf,16.804720419225795,inf,3.0,1000,78922
CSCCC(NC(=O)C(CC(C)C)NC(=O)C(CCCCNC(C)=O)NC(=O)C(CCCCN)NC(=O)C(N)Cc1cnc[nH]1)C(=O)O,9999,inf,inf,7.1770448149595705,inf,1.0,380,150208
CC1=CCCC(C)(O)C=CC(C(C)C)CCC2=CC(C1)OC2=O,9999,inf,inf,16.459716016625684,inf,4.0,586,140497
CCOC(=O)c1ncn2c1cc(C(=O)N(C)Cc1ccccc1)c1cc(F)ccc12,571,94,20.073471579051414,12.789938214337386,5.0,2.0,98,10385
O=C(CCNS(=O)(=O)c1ccc2c(c1)CCCC(=O)N2)NCc1ccc(Cl)cc1,29,8,3.4927979750893474,2.888094531934655,5.0,1.0,8,778
FC(F)(F)C1CN(Cc2cccc(-c3ccccn3)c2)CCO1,75,19,6.874985851320885,6.324431169968434,3.0,1.0,19,1432
N#CCOc1ccc(C2=NOC3C4CC(C23)C2C(=O)N(c3ccc5c(c3)OCO5)C(=O)C42)cc1,9999,inf,inf,9.069391787906723,inf,2.0,746,147958
NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1COc1ccc(NC(=O)c3cc(Cl)cnc3Cl)cc1-2,508,29,10.392873151840371,5.9509113089609755,8.0,2.0,62,8852
Cc1cc(NC(=O)CCC(=O)N(Cc2ccco2)C2(C(=O)NC3CCCC3)CCCCC2C)no1,9999,inf,inf,11.542660504831481,inf,2.0,292,67584
OCCC1CN(Cc2ccccc2-c2ccco2)CCN1Cc1ccccc1,3586,242,16.51636316461233,11.658984448202917,3.0,2.0,665,83767
Nc1nccc(-c2ccc(Cl)c(Cl)c2)n1,5,1,1.9846787690121657,1.9846787690121657,1.0,1.0,3,153
N#Cc1ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)n2c1,5,3,1.3831544751252594,1.3831544751252594,3.0,1.0,3,124
