smiles,n_iter,first_soln_time,lowest_cost_route_found,best_route_cost_lower_bound,lowest_depth_route_found,best_route_depth_lower_bound,num_calls_rxn_model,num_nodes_in_tree
CC=C(C)c1nnc(NC(=O)C(C)C)s1,69,16,11.351575834567711,8.876752140643756,3.0,2.0,16,355
CC(=O)OC1C2C(OC(C)=O)C3(OC2(C)C)C(C)(O)CC(OC(=O)c2ccccc2)C(OC(=O)c2ccccc2)C3(C)C1OC(=O)c1ccccc1,9999,inf,inf,11.660935958745876,inf,2.0,703,432195
OC(COc1ccc(-c2ccccc2)cc1)CSc1nnnn1-c1ccccc1,228,31,8.07692149542913,6.234265299785976,6.0,1.0,32,4883
C=CCn1c(O)c(N=Nc2nc3ccccc3c(=O)n2-c2ccccc2)c2ccccc21,4893,inf,inf,14.197278016012802,inf,3.0,1000,76158
NCCCNCCCCNC(=O)CC(NC(=O)c1ccc(C2c3ccc(O)cc3Oc3cc(O)ccc32)c(C(=O)O)c1)C(=O)NCC(=O)NCC(N)=O,9999,inf,inf,9.074268597597763,inf,1.0,296,69597
Cc1cc(C)c(-c2cn(C)c3nc(N(CC4CC4)CC4CC4)n(C)c(=O)c23)c(C)c1,1138,132,11.316254588990216,9.43995642479714,9.0,2.0,132,10721
COc1ccc(CNC(=O)CN2C(=O)COc3ccc(S(=O)(=O)N4CCOCC4)cc32)cc1,15,6,2.994501546320751,2.5104826951655386,4.0,1.0,8,303
CN1CCc2cc(Cl)c(O)cc2C(c2cccc(I)c2)C1,9999,inf,inf,9.32179595704621,inf,2.0,765,273110
NCCCCCCCCCCCC(=O)Nc1cn(-c2ccccc2)nc1-c1ccccc1,721,79,9.13715552604304,8.227388247332996,7.0,1.0,79,12444
CN(C)CCCNC(=O)c1cnc2ccc(C#CCNC(=O)c3cncn(Cc4ccc(F)c(F)c4)c3=O)cc2c1,1258,49,10.049668673792214,7.571445251376764,11.0,1.0,49,5811
COCCN=C(O)Nc1cc2[nH]nc(N3CCCC3)c2cn1,6094,inf,inf,11.28171529140291,inf,2.0,1000,80719
Nc1ccc(C(=O)NCCCCCCNC(=O)c2ccc(N)cc2)cc1,17,3,3.0033797871470185,2.0941966050491465,3.0,1.0,5,497
O=S(=O)(c1ccccc1Br)n1cc(CC2CCCN2)c2ccccc21,179,28,8.428082674674565,7.5497698295085875,6.0,1.0,28,2452
CCCCC(C=O)n1cc(C(C)(NC(=O)c2ccsc2)C(C)C)nn1,9999,inf,inf,12.280276300716071,inf,2.0,234,28344
OC(=NCC(c1ccc(Cl)cc1)N1CCCOCC1)c1cccc(Cl)c1Cl,8439,inf,inf,16.919668890062052,inf,3.0,1000,156333
CC(C)(CNC(=O)Cc1ccc(Cl)cc1Cl)N1CCCCC1,34,3,3.47851855308683,3.2640776014704738,3.0,1.0,8,575
CNC(=O)CCNC(=O)c1ccccc1N1CCOCC1,81,5,5.516146342757796,4.397948405703019,3.0,1.0,13,2255
CC(N=c1[nH]c(=N)[nH]c(N)c1C#N)c1nc2c(F)ccc(F)c2c(=O)n1-c1cccnc1,9999,inf,inf,16.972951667081368,inf,3.0,883,73695
CC(C)(C)c1ccc(OCCn2ccc(=O)n(Cc3ccccc3)c2=O)cc1,45,9,7.13717385553241,5.170831306406596,4.0,1.0,13,1043
COc1cccc(OC)c1-c1cc(Cl)nc(N)n1,3,2,1.198872040568305,1.198872040568305,2.0,1.0,2,148
N#Cc1c(N=Cc2c[nH]c3cccc([N+](=O)[O-])c23)sc2c1CCCCCC2,32,7,9.578886458202888,5.667829578175849,3.0,1.0,12,370
Cc1ccc(N2CCCC(NCc3nnc(-c4ccco4)o3)C2)nn1,1886,50,15.493952009280392,12.845403095882796,6.0,2.0,77,4982
CCc1nc(N2CCN(c3ccccn3)CC2)c2c3c(sc2n1)CCC3,186,16,9.071645122796157,6.390964648403296,4.0,1.0,33,2557
COC(=O)C1C2CC3CCC1N3CC2=Cc1ccc(-c2ccccc2OC)cc1,9999,inf,inf,11.197177168812289,inf,2.0,312,163744
O=C(c1ccc(Oc2cccc(F)c2)nc1)N1CCCN(C2CCC2)CC1,78,4,8.499283093812378,5.808352171800289,3.0,1.0,11,1088
CCCCOc1ccc(CON(C(C)=O)C(C)=O)cc1Cl,9999,inf,inf,17.705409681969464,inf,3.0,394,85153
CCC(C)n1c(=O)n(-c2ccc3c(c2)OCO3)c2ncccc21,5,3,5.117305209111368,5.117305209111368,2.0,2.0,3,84
COCc1noc(-c2ccc(N(C)Cc3cn(C)nc3C)nc2)n1,447,46,9.949867562961435,8.347752913094116,5.0,2.0,53,4153
CNS(=O)(=O)Nc1cccc(Nc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1,118,19,7.440955282269956,4.955453481173025,4.0,1.0,26,2024
N=C(O)n1cc(N=C(O)N2C(C(O)=NCc3cccc(Cl)c3F)CC3CC32)c2cc(OCCO)ccc21,6680,inf,inf,8.796269975349388,inf,2.0,1000,90702
COc1ccc(-c2c3c([nH]c(=S)c2C#N)-c2ccccc2SCC3)cc1,4420,410,13.946852914517399,10.795802201468506,6.0,2.0,410,108745
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(Cl)CC2(C)C1(OC(=O)c1ccco1)C(=O)CF,8413,inf,inf,9.798010874874484,inf,3.0,1000,124599
Cc1ccc(F)cc1NC(=O)CCNC(=O)c1ccc([N+](=O)[O-])cc1,16,6,4.474060820540982,3.830516161021231,4.0,1.0,6,346
OC(Cn1cncn1)(Cn1nnc2ccc(Cl)cc21)c1ccc(F)cc1F,290,16,11.112785979960279,6.8281260914773245,5.0,2.0,80,5578
O=Nc1c2cccnc2n2nnc3ccc(Cl)cc3c12,5112,inf,inf,18.320627709754643,inf,3.0,1000,78553
CC(NNC(=S)c1ccc(C(=O)O)cc1)=C1C(=O)N(c2ccc3c(c2)CCC3)c2ccccc21,9999,inf,inf,13.69035034673357,inf,2.0,616,119230
COc1cc(C=CC(=O)NC2CCc3ccccc3C2)ccc1-n1cnc(C)c1,43,7,5.945369524132495,5.483416579431244,4.0,1.0,8,410
CC(C)(C)NC(=O)C(c1c(C(=O)O)[nH]c2cc(Cl)ccc12)N(C=O)Cc1ccc(F)c(F)c1,1358,207,15.480413579889408,11.47312960246792,6.0,2.0,212,17670
NS(=O)(=O)c1ccc(N2N=C(c3ccc(F)cc3)CC2c2cn(-c3ccccc3)nc2-c2ccccc2)cc1,9,5,2.0769658191913583,2.0769658191913583,4.0,1.0,5,337
c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCCOCC4)cc3)c2n1,127,8,5.688137136368979,5.118524692976866,4.0,1.0,24,1590
O=C(CO)N(CCO)CCO,1,1,1.4353605597107184,1.4353605597107184,1.0,1.0,1,83
CCN(CC)C(=O)CN1CCc2c(nc(C3CCNCC3)nc2NC)C1,1626,151,15.17598602727744,9.354949338178344,10.0,2.0,334,39667
CCCc1nc2nc(C)c(NS(=O)(=O)c3ccc4c(c3)CCCC4)c(O)n2n1,9999,inf,inf,14.073933354660026,inf,3.0,687,66916
Cc1nc(NC(C)c2cccc(-c3ccn[nH]3)c2)cc(-c2ccc3occ(C)c3c2)n1,172,25,8.626118204560491,5.315431305805208,7.0,1.0,27,2133
Cc1ccc(-c2nn(Cc3ccccc3)cc2C=O)cc1,19,6,2.8850128640821455,2.7078505125110643,3.0,1.0,8,444
CC1CCC(C)N1C1c2cc([N+](=O)[O-])ccc2OC(C)(C)C1O,9999,inf,inf,16.222511159073903,inf,3.0,946,96198
CCCCc1nc(CCC)n(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c1C=O,9999,inf,inf,9.477409530059813,inf,2.0,456,108519
COc1ccc(-c2c(C)[n+]([O-])c3c([n+]2[O-])CCCCC3)cc1OC,9999,inf,inf,12.066603508427235,inf,2.0,456,175470
CC(C)COc1ncccc1C(=NO)N1CCCCC1,194,31,40.86072334428892,39.30900859330099,8.0,6.0,31,833
N#Cc1ccc(Nc2ncc(Cc3c(F)cccc3F)o2)cc1,37,3,8.767705863104336,5.870018529336298,3.0,1.0,16,536
CN1C(=O)C(Cc2nccc3c4ccccc4n(C(=O)OC(C)(C)C)c23)C(=O)N(C)C1=O,199,70,12.655768906292145,11.680781384955424,5.0,2.0,70,2570
CN(C)CCOc1ccc2c(c1)OC(C)(C)C=C2c1cccc2ccccc12,17,6,3.053200282119666,2.373020020858154,3.0,1.0,6,468
O=C(CN1CCN(CC=Cc2ccccc2)CC1)Nc1cc([N+](=O)[O-])ccc1Cl,31,6,6.571871212129725,4.6492677290724105,4.0,1.0,7,460
CC1Cn2c(=O)[nH]c3cccc(c32)CN1Cc1ccco1,118,18,11.339677906027786,7.743464856087161,8.0,1.0,18,887
COC(=O)c1ccc(CSc2nc(O)c3cnn(-c4ccccc4)c3n2)o1,3171,306,12.619898449615727,12.521736571997717,7.0,2.0,306,40593
Cc1cc2c(cc1C(=O)C=Cc1ccc(N(C)C)cc1)C(C)(C)CCC2(C)C,5,3,0.7039572880507357,0.7039572880507357,3.0,1.0,3,130
CN(C)S(=O)(=O)c1ccc(NC(=O)CN2CCCc3ccccc32)cc1,24,4,4.1273944812887855,3.9575155701178266,3.0,1.0,8,422
Oc1cccc(Nc2ccccc2)c1O,11,1,2.8993509565440894,1.5758972275272307,1.0,1.0,5,737
CC1CCC2C(C)C(c3ccc(CN4CCN(C)CC4)[nH]3)OC3OC4(C)CCC1C32OO4,8168,inf,inf,9.976314395737155,inf,2.0,1000,167477
COc1cc(-c2ccc3c(c2)Nc2ccc(CCC(=O)Nc4ccc(N5CCOCC5)cc4)cc2NC3=O)ccc1N,9999,inf,inf,9.78429217240291,inf,2.0,322,152376
COCCN1CCC(C(=O)N(C)Cc2c[nH]c3ccc(C)cc23)C1,124,23,6.117894785834612,4.683355615717449,3.0,1.0,38,2831
c1ccc2c(CNCCCCCCNCc3c(OCC4CC4)ccc4ccccc34)c(OCC3CC3)ccc2c1,334,30,7.583645876516693,6.429832951631126,6.0,1.0,30,3518
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCN(C)CC2)cn2c(=O)cc(N3CCOCC3)nc12,9999,inf,inf,12.81676139639072,inf,2.0,567,132307
Cc1ccccc1-n1nc(-c2c(-c3cccc(Cl)c3Cl)nc3ccccn23)ccc1=O,3575,572,12.58617430678066,10.323579948665664,6.0,2.0,605,73839
CC(CCC(=O)NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,9999,inf,inf,10.640601641205041,inf,2.0,401,78894
